"","paper.ID","year","author","title","Pathogen.kingdom","pathogen.kingdom.notes","Host.kingdom","host.kingdom.notes","System","System.2","System.2.simplified","PP.to.ecosystem.fxn","PP.abundance","PP.morbidity","PP.to.host.infection.prevalence...intensity","PP.to.abund.biomass","PP.to.morbidity","PP.to.unknown","abund.biomass.to.ecosystem.fxn","morbidity.to.ecosystem.fxn","unknown.to.ecosystem.fxn","ecosystem.fxn.to.PP","abiotic.or.biotic","location","note.x","experimental..PP.manipulation.or.mimic...1..observational..2..both..3.","process.vs..standing.stock.vs..both","process.vs..standing.stock.notes","highest.observational.scale..species.vs..community.ecosystem..of.ecosystem.impact","type.of.manipulation.or.comparison","spatial.scale","coordinates.in.paper","date.processed","time.start","time.end","time.elapsed","date.quant.data","time.elapsed.1","digitizing.time","figures.digitized","note.on.quant","exclude","reason.for.excluding","measureID","pathway","measure.general","measure.specific....outcome.variable","data.to.use","regression.coefficient","regression.coefficient.SE","regression.or.correlation","percent","value","digitizable.or.raw.data.available","variable.greater.without.pathogen.parasite","direction","note.directionality.of.effect","test.statistic.bounded.below","percent.difference","P","F","df","groups","t","sample.size.total","sample.size.control","sample.size.infected","secondary_factor","secondary_factor_level","tertiary_factor","tertiary_factor_level","quaternary.factor","quaternary.factor.level","variance.measure","control.mean","control.variance","variance.not.reported","control.CI.lower","control.CI.upper","infected.mean","infected.variance","infected.CI.lower","infected.CI.upper","correlation.coefficient","R.squared","R.squared.se","U","digitized_data","predictor.variable","predictor.value","predictor.unit","outcome.unit...concat.w.measure.specific","morbid_or_abund_biomass_measure","effects.on.host","effects.on.community","ecosystem_process_mediate","have.not.added.double.counting","double.counted.effect.on.plants...photosynthesizers.as.ecosystem.effect","double.counted.effect.on.non.plant.hosts.as.ecosystem.effect","ecosystem.function.not.linked.to.morbidity.or.abund","location.in.paper","note.y","exclude.as.ecosystem.measure","include.as.ecosystem.measure","reason.for.inclusion.or.exclusion.as.ecosystem.measure","notes","confirm"
"1",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","","PP to host infection prevalence / intensity","host infection intensity","metacercariae per tissue","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","1","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"2",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","","PP to host infection prevalence / intensity","host infection intensity","metacercariae per mm-2 of tissue","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","1","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"3",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","","PP to morbidity","condition of host","condition index","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,6,6,"size","large","","","",NA,"SE","39.4250",3.985,NA,NA,NA,"11.2720",4.622,NA,NA,NA,NA,NA,NA,1,"","","","","","1","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"4",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","","PP to morbidity","condition of host","condition index","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,6,6,"size","small","","","",NA,"SE","9.1890",0.638,NA,NA,NA,"5.2610",0.957,NA,NA,NA,NA,NA,NA,1,"","","","","","1","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"5",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","1","PP to morbidity","host phenotype","algal clearance rate","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","1","0",NA,NA,NA,NA,NA,"","unknown because can't tell if this is due to change in biomass or change in function of biomass that is there. no, paper does indicate biomass not different",NA,"","","",""
"6",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","1","morbidity to ecosystem fxn","biogeochemical cycles","algal clearance rate","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,6,6,"size","large","","","",NA,"SE","3.9427",0.3763,NA,NA,NA,"3.2796",0.1792,NA,NA,NA,NA,NA,NA,1,"","","","","","1","0",NA,NA,NA,1,NA,"","unknown because can't tell if this is due to change in biomass or change in function of biomass that is there. no, paper does indicate biomass not different",NA,"","","",""
"7",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","1","morbidity to ecosystem fxn","biogeochemical cycles","algal clearance rate","mean_variance",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,6,6,"size","small","","","",NA,"SE","1.9713",0.2151,NA,NA,NA,"1.5233",0.1613,NA,NA,NA,NA,NA,NA,1,"","","","","","1","0",NA,NA,NA,1,NA,"","unknown because can't tell if this is due to change in biomass or change in function of biomass that is there. no, paper does indicate biomass not different",NA,"","","",""
"8",42,"","Stier","Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis","animal","","animal","","aquatic","coastal","marine",0,NA,NA,1,0,1,0,0,1,0,0,1,"Texel
(Balgzand, Netherlands)","ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem","1","process","process","species","field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]","1","","","","","9/28",50,30,2,"",NA,"","","abiotic or biotic","biotic","host size","",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",0,NA,NA,NA,NA,"","",NA,"","","",""
"9",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","% carbon of parasite","t _ sample size _ test statistic bounded",NA,NA,"",NA,NA,NA,NA,NA,"",1,NA,"",NA,NA,NA,0.74,38,19,19,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
"10",53,"","Bernot","Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling","animal","","animal","","aquatic","river","freshwater",1,NA,NA,0,0,1,0,0,1,1,0,1,"White River, Muncie, IN, USA","","2","both","both","species","observation: field-collected hosts with and without infection measured in lab; experiment: lab","3 collection sites","0","","","","","9/28",37,0,0,"",NA,"","","PP to ecosystem fxn","biogeochemical cycles","% nitrogen of parasite","t _ sample size _ test statistic bounded",NA,NA,"",NA,NA,NA,NA,NA,"",1,NA,"",NA,NA,NA,0.74,38,19,19,"","","","","",NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","0","0",NA,NA,NA,NA,NA,"","",NA,"","","",""
