"","pathway.number","pathway","measure.general","measure.specific....outcome.variable","community","host","count"
"1",3,"abiotic or biotic","abiotic","active C",NA,NA,1
"2",3,"abiotic or biotic","abiotic","ambient temperature",NA,NA,1
"3",3,"abiotic or biotic","abiotic","ambient temperature vs. elevated",NA,NA,1
"4",3,"abiotic or biotic","abiotic","clay",NA,NA,1
"5",3,"abiotic or biotic","abiotic","CO2-enriched air vs. ambient air",NA,NA,1
"6",3,"abiotic or biotic","abiotic","depth",NA,NA,5
"7",3,"abiotic or biotic","abiotic","DIN",NA,NA,1
"8",3,"abiotic or biotic","abiotic","DIP",NA,NA,1
"9",3,"abiotic or biotic","abiotic","euphotic or aphotic",NA,NA,1
"10",3,"abiotic or biotic","abiotic","fertilizer",NA,NA,2
"11",3,"abiotic or biotic","abiotic","horizon",NA,NA,1
"12",3,"abiotic or biotic","abiotic","irradiance",NA,NA,1
"13",3,"abiotic or biotic","abiotic","light levels",NA,NA,1
"14",3,"abiotic or biotic","abiotic","mesotrophic vs. oligotrophic",NA,NA,1
"15",3,"abiotic or biotic","abiotic","moist vs. dry conditions",NA,NA,1
"16",3,"abiotic or biotic","abiotic","month",NA,NA,6
"17",3,"abiotic or biotic","abiotic","mud volcano vs. control",NA,NA,1
"18",3,"abiotic or biotic","abiotic","N fertilization",NA,NA,1
"19",3,"abiotic or biotic","abiotic","NH4",NA,NA,1
"20",3,"abiotic or biotic","abiotic","NO3",NA,NA,1
"21",3,"abiotic or biotic","abiotic","NO3-N",NA,NA,1
"22",3,"abiotic or biotic","abiotic","nutrient level",NA,NA,1
"23",3,"abiotic or biotic","abiotic","nutrients",NA,NA,1
"24",3,"abiotic or biotic","abiotic","organophosphate",NA,NA,1
"25",3,"abiotic or biotic","abiotic","pH",NA,NA,2
"26",3,"abiotic or biotic","abiotic","photosynthetic photon flux density",NA,NA,1
"27",3,"abiotic or biotic","abiotic","PO4",NA,NA,1
"28",3,"abiotic or biotic","abiotic","pre-dawn vs. midday",NA,NA,1
"29",3,"abiotic or biotic","abiotic","precipitation",NA,NA,2
"30",3,"abiotic or biotic","abiotic","provenance transfer distance (mean annual maximum temperature)",NA,NA,1
"31",3,"abiotic or biotic","abiotic","rainfall",NA,NA,1
"32",3,"abiotic or biotic","abiotic","river discharge",NA,NA,1
"33",3,"abiotic or biotic","abiotic","salinity",NA,NA,1
"34",3,"abiotic or biotic","abiotic","sampling occasion (time)",NA,NA,2
"35",3,"abiotic or biotic","abiotic","season",NA,NA,5
"36",3,"abiotic or biotic","abiotic","shallow vs. deep",NA,NA,1
"37",3,"abiotic or biotic","abiotic","Si",NA,NA,2
"38",3,"abiotic or biotic","abiotic","slope",NA,NA,1
