paper ID,measureID,pathway,measure general,measure specific -- outcome variable,outcome unit - concat w measure specific,morbid_or_abund_biomass_measure,effects on host,effects on community,predictor variable,ecosystem_process_mediate,have not added double counting,double-counted effect on plants / photosynthesizers as ecosystem effect,double-counted effect on non-plant hosts as ecosystem effect,ecosystem function not linked to morbidity or abund,location in paper,note,exclude as ecosystem measure,include as ecosystem measure,reason for inclusion or exclusion as ecosystem measure,notes,confirm
42,,PP to host infection prevalence / intensity,host infection intensity,metacercariae per tissue,,,1,0,,,,,,,,,,,,,
42,,PP to host infection prevalence / intensity,host infection intensity,metacercariae per mm-2 of tissue,,,1,0,,,,,,,,,,,,,
42,,PP to morbidity,condition of host,condition index,,,1,0,,,,,,,,,,,,,
42,1,PP to morbidity,host phenotype,algal clearance rate,,,1,0,,,,,,,,"unknown because can't tell if this is due to change in biomass or change in function of biomass that is there. no, paper does indicate biomass not different",,,,,
42,1,morbidity to ecosystem fxn,biogeochemical cycles,algal clearance rate,,,1,0,,,,,1,,,"unknown because can't tell if this is due to change in biomass or change in function of biomass that is there. no, paper does indicate biomass not different",,,,,
42,,abiotic or biotic,biotic,host size,,,0,0,,0,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,% carbon of parasite,,,0,0,,,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,% nitrogen of parasite,,,0,0,,,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,C:P of parasite,,,0,0,,,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,C:N of parasite,,,0,0,,,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,% phosphorous of parasite,,,0,0,,,,,,,,,,,,,
53,,PP to ecosystem fxn,biogeochemical cycles,N:P of parasite,,,0,0,,,,,,,,,,,,,
53,,unknown to ecosystem fxn,biogeochemical cycles,N excretion by host,,,1,0,,,1,,,,,unknown because cannot distinguish effects of biomass vs. function of biomass that is there,,,,,
53,,unknown to ecosystem fxn,biogeochemical cycles,P excretion,,,1,0,,,1,,,,,unknown because cannot distinguish effects of biomass vs. function of biomass that is there,,,,,
53,,morbidity to ecosystem fxn,biogeochemical cycles,N:P excreta,,host phenotype,1,0,,,1,,,,,morbidity because not biomass-dependent,,,,,
