ID,author,title,Pathogen kingdom,pathogen.kingdom.notes,Host kingdom,host kingdom notes,System,System.2,System.2.simplified,PP to ecosystem fxn,PP abundance,PP morbidity,PP to host infection prevalence / intensity,PP to abund biomass,PP to morbidity,PP to unknown,abund biomass to ecosystem fxn,morbidity to ecosystem fxn,unknown to ecosystem fxn,ecosystem fxn to PP,abiotic or biotic,location,note,experimental (PP manipulation or mimic) (1) observational (2) both (3),process vs. standing stock vs. both,process vs. standing stock notes,highest observational scale (species vs. community/ecosystem) of ecosystem impact,type of manipulation or comparison,spatial scale,coordinates in paper,date processed,time start,time end,time elapsed,exclude,reason for excluding
42,Stier,Trematode infections reduce clearance rates and condition in blue   mussels Mytilus edulis,animal,,animal,,aquatic,coastal,marine,0,,,1,0,1,1,0,0,1,0,1,"Texel
(Balgzand, Netherlands)",ecosystem measure in relation to impacted species (clearance by mussels); species level (is it one of these ecosystem processes and is it measured at species level vs. assemblage vs. ecosystem,1,process,process,species,"field-collected hosts kept in lab and artificially infected; what are our ways of knowing this... lab microcosms, time... ","; 1 L microcosms;
 [lab, plot (field), ecosystem (whole forest, pond), interested in ecosystem effects... x percent do in field at spatial scales]",1,,,,,,
53,Bernot,Parasite-host elemental content and the effects of a parasite on   host-consumer-driven nutrient recycling,animal,,animal,,aquatic,river,freshwater,1,,,0,0,0,1,0,1,1,0,1,"White River, Muncie, IN, USA",,2,both,both,species,observation: field-collected hosts with and without infection measured in lab; experiment: lab,3 collection sites,0,,,,,,
59,Connelly,Changes in Stream Primary Producer Communities Resulting from   Large-Scale Catastrophic Amphibian Declines: Can Small-Scale Experiments   Predict Effects of Tadpole Loss?,fungus,,animal,,aquatic,stream,freshwater,0,,,0,1,0,,1,0,,0,1,"Parque Nacional G. D. Omar Torrijos Herrera, El
Cope´, Cocle´, Panama (840¢N, 8035¢W); Reserva Forestal Fortuna, Chiriquı´, Panama
(842¢N, 8214¢W)",,3,both,both,ecosystem,observation: reach with and without frogs; experiment: host exclusion,observation: stream reach; experiment: 0.5 meters sq,1,,,,,,
73,van der Putten,Soil feedback of exotic savanna grass relates to pathogen absence and   mycorrhizal selectivity,fungus,,plant,,terrestrial,savanna,savanna,0,,,0,0,1,,0,1,,0,1,"Kalahari, Botswana",,1,stock,stock,assemblage,PP removed (sterilization) vs. allowed,outdoor shade house,0,,,,,,
82,Matthies,"Interactions between a root hemiparasite and 27 different hosts: Growth,   biomass allocation and plant architecture",plant,,plant,,terrestrial,grassland,temperate grassland,1,,,0,1,1,,1,1,,0,1,"Göttingen, Germany",,1,both,both,assemblage,PP added vs. without,pots in outdoor garden,0,,,,,,
108, NDAGURWA,"Decomposition and nutrient release patterns of mistletoe litters in a   semi-arid savanna, southwest Zimbabwe",plant,,plant,,terrestrial,savanna,savanna,1,,,0,1,0,,0,0,,0,0,"Matapos Research Station, Bulawayo, Zimbabwe",,1,both,both,assemblage,litter-bag decomposition experiment comparing parasite to host,individual trees in 30 ha plot,1,,,,,,
114,Frost,Bacterial infection changes the elemental composition of Daphnia magna,bacteria,,animal,,aquatic,freshwater,freshwater,0,,,0,1,1,,0,1,,,1,not reported,,1,stock,stock,species,experimental infection of lab-reared hosts,20 mL tubes,0,,,9/19/2018 16:33:04,,,
118,Connelly,Initial versus longer-term effects of tadpole declines on algae in a   Neotropical stream,fungus,,animal,,aquatic,stream,freshwater,0,,,0,1,0,,1,0,,0,1,"Rio Guabal, Parque  Nacional G. D. Omar Torrijos Herrera, El Cope, Cocle, Panama",,2,process,process (stock over time),ecosystem,"time: pre-decline, initial post-decline, longer-term post-decline",reach,1,,15:32,15:46,0:14:00,,
136, NDAGURWA,"The influence of mistletoes on nutrient cycling in a semi-arid savanna,   southwest Zimbabwe",plant,,plant,,terrestrial,savanna,savanna,1,,,0,0,0,1,0,0,1,0,1,"Matapos Research Station, Bulawayo, Zimbabwe",,2,process,process (stock over time),assemblage,"field: compare with and without parasite, compare parasite vs. host",30 hectare,1,7/27,8:40,9:12,0:32:00,,
147,Masumoto,The effect of tar spot pathogen on host plant carbon balance and its   possible consequences on a tundra ecosystem,fungus,,plant,,terrestrial,tundra,tundra,1,,,1,1,0,,1,0,,0,0,"Spitsbergen Island, Norway",,2,process,process (carbon balance),ecosystem,"field observation and lab experiments from field-collected samples, compare infected vs. non-infected and over time",20 X 20 cm plots,1,7/27,9:13,9:37,0:24:00,,
