AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,include-old,screened_by,double-check,include_article_review,exclude_reason,notes
"James T. Powell, Aspassia D. Chatziefthimiou, Sandra Anne Banack, Paul Alan Cox, James S. Metcalf",2015,"Desert crust microorganisms, their environment, and human health",JOURNAL OF ARID ENVIRONMENTS,127-133,127-133,10.1016/j.jaridenv.2013.11.004,"This article reviews current knowledge on cyanobacteria, the dominant   primary producers, and other microorganisms in arid desert environments.   These microorganisms have developed an array of adaptations to hot, arid   climates with intense UV radiation, extreme diurnal temperature   fluctuations, and high soil salinity. Crust microorganisms positively   contribute to their harsh ecosystems, by preventing evapotranspiration,   fixing nitrogen, and blocking solar radiation. In doing so, desert crust   prevents soil erosion and facilitates the establishment of plant   species. However, like aquatic cyanobacteria, desert cyanobacteria have   the potential to produce toxins linked to human and animal illness.   Furthermore, the impact of terrestrial cyanobacterial toxins on human   health in desert regions is poorly understood. A largely ignored, but   potentially important human exposure route for cyanotoxins in desert   environments is through the inhalation of desert crusts during dust   storms and anthropogenic activity. Future work in this field should   include the characterization of toxins produced in desert regions as   well as the presence of toxins in clinical and environmental materials.   (C) 2013 Published by Elsevier Ltd.",815,NO,NO,BH,done,,,
"Alberto Maceda-Veiga, Andy J. Green, Adolfo De Sostoa",2014,Scaled body-mass index shows how habitat quality influences the   condition of four fish taxa in north-eastern Spain and provides a novel   indicator of ecosystem health,FRESHWATER BIOLOGY,1145-1160,1145-1160,10.1111/fwb.12336,"Natural and anthropogenic disturbances are key forces governing the   structure and functioning of aquatic communities. Understanding how   these factors shape organism performance can help to identify the most   vulnerable species and develop effective management strategies. This is   particularly important for ichthyofaunas with high endemicity and low   diversity, such as those of the Iberian Peninsula.   We explored the suitability of a novel and simple condition index, the   scaled mass index (SMI), based on mass-length relationships, for   analysis of the effects that abiotic and biotic pressures have on the   body condition of four fish taxa widely distributed in Mediterranean   rivers in north-eastern Spain: brown trout (Salmo trutta), Iberian   redfin barbel (Barbus haasi), Ebro barbel (Luciobarbus graellsii) and   minnows (Phoxinus spp.). The SMI performed better in explaining spatial   variation in body condition than the Fulton Index, a traditional method   for fish studies.   For all taxa, anthropogenic stressors influencing water quality and   physical habitat explained more variance in SMI than other factors.   Variation partitioning and GLM approaches consistently showed that SMI   increased with altitude, reduced concentrations of toxic nitrogenous   compounds, and well-preserved riparian canopy and natural channel   morphology, despite the fact that three of the study taxa are in   expansion and generally considered `tolerant'. In addition, the   application of SMI to an independent fish data set showed that SMI   provides a novel indicator of ecosystem health, which performs better   than the current index of biotic integrity developed in this region.   We discuss the likely mechanisms behind the strong effects of habitat   quality on SMI and the implications for our understanding of tolerance.   Incorporating SMI into studies of fish monitoring is likely to improve   the value of fish studies as indicators of river quality and ecological   change. Further studies should compare the response of SMI to specific   fish health indicators such as parasite load, haematological assays and   pollutant bioaccumulation to improve our understanding of the value of   SMI as a non-lethal diagnostic procedure.",816,NO,NO,BH,done,,,
"Robert J. Warren II, Erin Mordecai",2010,Soil moisture mediated interaction between Polygonatum biflorum and leaf   spot disease,PLANT ECOLOGY,1-9,1-9,10.1007/s11258-009-9713-1,"Fungal pathogens can regulate the abundance and distribution of natural   plant populations by inhibiting the growth, survival, and reproduction   of their hosts. The abiotic environment is a crucial component in   host-pathogen interactions in natural plant populations as favorable   conditions drive pathogen development, reproduction, and persistence.   Foliar plant pathogens, such as fungal lesions referred to generically   as ``leaf spot disease,'' are particularly responsive to increased   moisture levels, but the manner in which the abiotic environment drives   disease dynamics, and how these diseases regulate natural plant   populations, is not fully understood. We investigate (1) the impact of   ambient soil moisture and diffuse light on the prevalence of a leaf spot   pathogen (Phyllosticta sp.) in a natural population of Polygonatum   biflorum, an understory herb native to deciduous forest understories in   the eastern US, and (2) the effects of the fungal pathogen on the   survival, growth, and abundance of the plants. We tracked six P.   biflorum populations and disease incidence, as well as soil moisture and   diffuse light, between 2003 and 2005 in the understory deciduous forest   of the southern Appalachian Mountains, North Carolina, USA. Results show   that both the occurrence of P. biflorum and the prevalence of P.   biflorum leaf spot disease are highest where soil moisture is   intermediate and diffuse light is lowest. Disease occurrence depends   upon plant presence, but it also adversely impacts plant survival,   abundance, and growth. These results suggest that leaf spot disease is   likely to impact population dynamics, which in turn vary as a function   of environmental drivers.",817,MAYBE,MAYBE,BH,done,no,data on PP but not on ecosystem processes affected by PP,growth = change in leaf number. does not count as standing stock
"Jose R. Valdez Barillas, Mark W. Paschke, Michael H. Ralphs, R. Dennis Child",2007,White locoweed toxicity is facilitated by a fungal endophyte and   nitrogen-fixing bacteria,ECOLOGY,1850-1856,1850-1856,NA,"Mutualistic interactions with fungal endophytes and dinitrogen-fixing   bacteria are known to exert key biological influences on the host plant.   The influence of a fungal endophyte alkaloid on the toxicity of a plant   has been documented in Oxytropis sericea. Oxytropis sericea is a   perennial legume responsible for livestock poisoning in western North   America. Livestock poisoning is attributed to the alkaloid swainsonine,   which is synthesized inside the plant by the fungal endophyte Embellisia   sp. In this study, the ability of Oxytropis sericea to form a   dinitrogen-fixing symbiosis with Rhizobium and the effects of this   symbiosis on the production of swainsonine by Embellisia sp. were   evaluated in a greenhouse environment. Seeds of O. sericea were grown in   plastic containers. Twenty-week-old O. sericea seedlings were inoculated   with four strains of Rhizobium. Twenty weeks after inoculation, plant   growth and root nodulation by Rhizobium were measured. Dinitrogen   fixation was confirmed using an acetylene reduction assay (ARA) on   excised root nodules. Dry leaves were analyzed for swainsonine content.   A second set of plants was treated with fungicide to evaluate the effect   of reduced fungal endophyte infection on plant growth and swainsonine   production. All inoculated plants produced indeterminate nodules. The   ARA indicated that 98\% of the excised nodules were fixing dinitrogen.   Rhizobium-treated plants had greater swainsonine concentrations than the   non-inoculated controls. Plants that established from seeds treated with   fungicide had lower biomass than non-fungicide-treated controls and   plants treated with foliar fungicide. Plants treated with foliar   fungicide and the controls had greater swainsonine concentrations than   the plants that received seed fungicide. This greenhouse study is the   first report of nodulation and dinitrogen fixation in O. sericea. It   also demonstrates that dinitrogen fixation increases the production of   swainsonine in O. sericea plants infected with Embellisia sp. Results   from this study suggest that dinitrogen fixation affects swainsonine   production and has the potential to support the symbiosis between   Embellisia sp. and O. sericea when soil nitrogen is limited. Oxytropis   sericea competitiveness appears to be facilitated by an ability to   simultaneously associate with Rhizohium and a fungal symbiont.",818,NO,NO,BH,done,,,
"Ferhat Can Ozkaya, Zerife Peker, Mustafa Camas, Anil Sazak Camas, Muhammet Altunok",2017,Marine Fungi Against Aquaculture Pathogens and Induction of the Activity   via Co-Culture,CLEAN-SOIL AIR WATER,NA,NA,10.1002/clen.201700238,"Ethyl acetate extracts from 70 strains of marine-derived fungi, isolated   from sponges, were screened against four fish pathogenic bacteria.   Sixteen of the fungal isolates exhibited antibacterial activity against   at least one pathogen. All the strains showed antibacterial activity   against Vagococcus salmoninarum. Three isolates showed strong inhibition   against all test pathogens and they may therefore be remarkable as a   broad-spectrum antimicrobial. Nine isolates showed antibacterial   activity against Lactococcus garvieae, six were against Vibrio   anguillarum, and four isolates inhibited the growth of Yersinia ruckeri.   Co-culture of the fungus with the mix of the pathogen bacteria led to   the induction of bioactivity in two isolates. Aspergillus iizukae   produced strong and broad-spectrum antibacterial activity against   pathogens with minimum inhibitory concentrations of 0.8-406 mu gmL(-1).   The screening results confirmed the sponge associated fungi as a source   of environmentally friendly antimicrobials that may contribute the   sustainable development of aquaculture. In addition, co-culture   technique is a promising strategy to increase antimicrobial activity   that can stimulate the production of novel compounds, and increases the   antimicrobial activities of marine derived fungi.",819,NO,NO,BH,done,,,
"Paul Kardol, Gerlinde B. De Deyn, Etienne Laliberte, Pierre Mariotte, Christine V. Hawkes",2013,Biotic plant-soil feedbacks across temporal scales,JOURNAL OF ECOLOGY,309-315,309-315,10.1111/1365-2745.12046,"1. Plant effects on soil biota can result in feedbacks affecting plant   performance, with consequences for plant community and ecosystem   dynamics on short and long time-scales. In addition, the strength and   direction of plant-soil feedbacks depend on temporal shifts in abiotic   environmental conditions.   2. We synthesize current knowledge on temporal aspects of plant-soil   feedbacks and present new ideas to better understand and predict the   effects of plant-soil feedbacks on community and ecosystem properties   across temporal scales.   3. Explaining short-term temporal feedback dynamics requires us to   better understand mechanistic linkages between plants, soil organisms   and locally available resources. On the other hand, we need to refine   our understanding of the context-dependency of plant-soil feedbacks, as   the strength and direction of feedback interactions are influenced by   `external' temporal ecosystem dynamics, such as variation in soil   resource availability after disturbance or during succession.   4. Synthesis. Based on our synthesis of temporal aspects of plant-soil   feedbacks, we suggest three main avenues for future research: (i) how   plant-soil feedbacks changes with ontogeny, (ii) how plant and soil   organism traits drive temporal variation in plant-soil feedbacks and   (iii) how environmental changes across temporal scales alter the   strength and direction of plant-soil feedbacks.",820,NO,NO,BH,done,,,
"Ines Loaces, Lucia Ferrando, Ana Fernandez Scavino",2011,"Dynamics, Diversity and Function of Endophytic Siderophore-Producing   Bacteria in Rice",MICROBIAL ECOLOGY,606-618,606-618,10.1007/s00248-010-9780-9,"Siderophore production confers to bacteria competitive advantages to   colonize plant tissues and to exclude other microorganisms from the same   ecological niche. This work shows that the community of endophytic   siderophore-producing bacteria (SPB) associated to Oryza sativa   cultivated in Uruguayan soils is dynamic and diverse. These bacteria   were present in grains, roots, and leaves, and their density fluctuated   between log(10) 3.44 and log(10) 5.52 cfu g(-1) fresh weight (fw) during   the plant growth. Less than 10\% of the heterotrophic bacteria produced   siderophores in roots and leaves of young plants, but most of the   heterotrophic bacteria were siderophore-producers in mature plants.   According to their amplified restriction DNA ribosomal analysis (ARDRA)   pattern, 54 of the 109 endophytic SPB isolated from different plant   tissues or growth stages from replicate plots, were unique. Bacteria   belonging to the genera Sphingomonas, Pseudomonas, Burkholderia, and   Enterobacter alternated during plant growth, but the genus Pantoea was   predominant in roots at tillering and in leaves at subsequent stages.   Pantoea ananatis was the SPB permanently associated to any of the plant   tissues, but the genetic diversity within this species-revealed by   BOX-PCR fingerprinting- showed that different strains were randomly   distributed along time and plant tissue, suggesting that a common trait   of the species P. ananatis determined the interaction with the rice   plant. Several isolates were stronger IAA producers than Azospirillum   brasilense or Herbaspirillum seropedicae. In vitro inhibition assays   showed that SPB of the genus Burkholderia were good antagonists of   pathogenic fungi and that only one SPB isolate of the genus Pseudomonas   was able to inhibit A. brasilense and H. seropedicae. These results   denoted that SPB were selected into the rice plant. P. ananatis was the   permanent and dominant associated species which was unable to inhibit   two of the relevant plant growth-promoting bacteria.",821,NO,NO,BH,done,,,
"Sam C. Banks, David B. Lindenmayer, Lachlan McBurney, David Blair, Emma J. Knight, Michaela D. J. Blyton",2011,Kin selection in den sharing develops under limited availability of tree   hollows for a forest marsupial,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2768-2776,2768-2776,10.1098/rspb.2010.2657,"Animal social behaviour is not static with regard to environmental   change. Flexibility in cooperative resource use may be an important   response to resource decline, mediating the impacts of resource   availability on fitness and demography. In forest ecosystems, hollow   trees are key den resources for many species, but are declining   worldwide owing to forestry. Altered patterns of den sharing may mediate   the effects of the decline of this resource. We studied den-sharing   interactions among hollow-dependent Australian mountain brushtail   possums to investigate how spatial variation in hollow tree availability   affects resource sharing and kin selection. Under reduced den   availability, individuals used fewer dens and shared them less often.   This suggests increased territoriality in the presence of resource   competition. Further, there was a switch from kin avoidance to kin   preference with decreasing hollow tree availability. This was driven   primarily by a change in den sharing among siblings. The inclusive   fitness benefits of den sharing with kin are likely to increase under   resource-limiting conditions, but are potentially outweighed by the   benefits of associating with non-relatives (avoidance of inbreeding or   pathogen transmission) where dens are abundant. We discuss how   predictions from social evolutionary theory can contribute to   understanding animal responses to landscape change.",822,NO,NO,BH,done,,,
"Roy Van Driesche, Ted Center",2013,Biological Control of Invasive Plants in Protected Areas,NA,561-597,561-597,10.1007/978-94-007-7750-7\_26,"Classical weed biological control is widely used in natural areas. It is   based on introduction of specialised natural enemies (herbivorous   insects and fungal pathogens) from the weed's native range. It can be   used safely if specialised natural enemies are selected and can be   highly effective in suppressing weeds over large areas. Agents used in   modern projects typically have genus or species level specificity and   are safe when proper risk analysis and procedures are followed. Agents   spread over large areas and can move into hard-to-reach areas. If   correctly selected, agents are safe for use in areas too ecologically   sensitive for chemical or mechanical control. Costs are independent of   area to be treated because agents are self-reproducing, and results are   self-sustaining. Biological control is most appropriate for use against   widespread weeds, difficult to control with other methods that occur in   critical habitats and damage biodiversity or ecosystem function. Finding   suitable agents is easier against weeds distantly related to local   native plants. Such targets reduce risk to native flora, facilitate   agent screening, lower cost, and increase likelihood of success.   Projects should be partnerships between biological control scientists   and conservation biologists, and biological control activities should be   done within a comprehensive restoration plan for the ecosystem. In some   cases, suppression of the invasive weed may be sufficient, but sometimes   additional actions, such as replanting native species or modifying   ecosystem processes such as fire or flooding regimes may be essential.",823,NO,NO,BH,done,,,
"Clio Der Sarkissian, Vianney Pichereau, Catherine Dupont, Peter C. Ilsoe, Mickael Perrigault, Paul Butler, Laurent Chauvaud, Jon Eiriksson, James Scourse, Christine Paillard, Ludovic Orlando",2017,Ancient DNA analysis identifies marine mollusc shells as new metagenomic   archives of the past,MOLECULAR ECOLOGY RESOURCES,835-853,835-853,10.1111/1755-0998.12679,"Marine mollusc shells enclose a wealth of information on coastal   organisms and their environment. Their life history traits as well as   (palaeo-) environmental conditions, including temperature, food   availability, salinity and pollution, can be traced through the analysis   of their shell (micro-) structure and biogeochemical composition. Adding   to this list, the DNA entrapped in shell carbonate biominerals   potentially offers a novel and complementary proxy both for   reconstructing palaeoenvironments and tracking mollusc evolutionary   trajectories. Here, we assess this potential by applying DNA extraction,   high-throughput shotgun DNA sequencing and metagenomic analyses to   marine mollusc shells spanning the last similar to 7,000 years. We   report successful DNA extraction from shells, including a variety of   ancient specimens, and find that DNA recovery is highly dependent on   their biomineral structure, carbonate layer preservation and disease   state. We demonstrate positive taxonomic identification of mollusc   species using a combination of mitochondrial DNA genomes, barcodes,   genome-scale data and metagenomic approaches. We also find shell   biominerals to contain a diversity of microbial DNA from the marine   environment. Finally, we reconstruct genomic sequences of organisms   closely related to the Vibrio tapetis bacteria from Manila clam shells   previously diagnosed with Brown Ring Disease. Our results reveal marine   mollusc shells as novel genetic archives of the past, which opens new   perspectives in ancient DNA research, with the potential to reconstruct   the evolutionary history of molluscs, microbial communities and   pathogens in the face of environmental changes. Other future   applications include conservation of endangered mollusc species and   aquaculture management.",824,NO,NO,BH,done,,,
