AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Jennifer G. Klutsch, Ahmed Najar, Patrick Sherwood, Pierluigi Bonello, Nadir Erbilgin",2017,A Native Parasitic Plant Systemically Induces Resistance in Jack Pine to   a Fungal Symbiont of Invasive Mountain Pine Beetle,JOURNAL OF CHEMICAL ECOLOGY,506-518,506-518,10.1007/s10886-017-0845-9,"Conifer trees resist pest and pathogen attacks by complex defense   responses involving different classes of defense compounds. However, it   is unknown whether prior infection by biotrophic pathogens can lead to   subsequent resistance to necrotrophic pathogens in conifers. We used the   infection of jack pine, Pinus banksiana, by a common biotrophic pathogen   dwarf mistletoe, Arceuthobium americanum, to investigate induced   resistance to a necrotrophic fungus, Grosmannia clavigera, associated   with the mountain pine beetle, Dendroctonus ponderosae. Dwarf mistletoe   infection had a non-linear, systemic effect on monoterpene production,   with increasing concentrations at moderate infection levels and   decreasing concentrations at high infection levels. Inoculation with G.   clavigera resulted in 33 times higher monoterpene concentrations and   half the level of phenolics in the necrotic lesions compared to   uninoculated control trees. Monoterpene production following dwarf   mistletoe infection seemed to result in systemic induced resistance, as   trees with moderate disease severity were most resistant to G.   clavigera, as evident from shorter lesion lengths. Furthermore, trees   with moderate disease severity had the highest systemic but lowest local   induction of alpha-pinene after G. clavigera inoculation, suggesting a   possible tradeoff between systemically- and locally-induced defenses.   The opposing effects to inoculation by G. clavigera on monoterpene and   phenolic levels may indicate the potential for biosynthetic tradeoffs by   the tree between these two major defense classes. Our results   demonstrate that interactions between a biotrophic parasitic plant and a   necrotrophic fungus may impact mountain pine beetle establishment in   novel jack pine forests through systemic effects mediated by the   coordination of jack pine defense chemicals.",1900,NO,CS,,,
"Darren M. Evans, James J. N. Kitson, David H. Lunt, Nigel A. Straw, Michael J. O. Pocock",2016,Merging DNA metabarcoding and ecological network analysis to understand   and build resilient terrestrial ecosystems,FUNCTIONAL ECOLOGY,1904-1916,1904-1916,10.1111/1365-2435.12659,"1. Significant advances in both mathematical and molecular approaches in   ecology offer unprecedented opportunities to describe and understand   ecosystem functioning. Ecological networks describe interactions between   species, the underlying structure of communities and the function and   stability of ecosystems. They provide the ability to assess the   robustness of complex ecological communities to species loss, as well as   a novel way of guiding restoration. However, empirically quantifying the   interactions between entire communities remains a significant challenge.   2. Concomitantly, advances in DNA sequencing technologies are resolving   previously intractable questions in functional and taxonomic   biodiversity and provide enormous potential to determine hitherto   difficult to observe species interactions. Combining DNA metabarcoding   approaches with ecological network analysis presents important new   opportunities for understanding large-scale ecological and evolutionary   processes, as well as providing powerful tools for building ecosystems   that are resilient to environmental change.   3. We propose a novel `nested tagging' metabarcoding approach for the   rapid construction of large, phylogenetically structured   species-interaction networks. Taking tree-insect-parasitoid ecological   networks as an illustration, we show how measures of network robustness,   constructed using DNA metabarcoding, can be used to determine the   consequences of tree species loss within forests, and forest habitat   loss within wider landscapes. By determining which species and habitats   are important to network integrity, we propose new directions for forest   management.   4. Merging metabarcoding with ecological network analysis provides a   revolutionary opportunity to construct some of the largest,   phylogenetically structured species-interaction networks to date,   providing new ways to: (i) monitor biodiversity and ecosystem   functioning; (ii) assess the robustness of interacting communities to   species loss; and (iii) build ecosystems that are more resilient to   environmental change.",1901,NO,CS,,,
"S. Nain, A. Bour, C. Chalmers, J. E. G. Smits",2011,Immunotoxicity and disease resistance in Japanese quail (Corturnix   coturnix japonica) exposed to malathion,ECOTOXICOLOGY,892-900,892-900,10.1007/s10646-011-0657-6,"The purpose of this study was to evaluate the impact of malathion on the   immune system of wild birds, using Japanese quail (Coturnix coturnix   japonica) as a model. Quail were exposed to malathion in drinking water   at environmentally realistic concentrations (0 ppm, 1 ppm, and 10 ppm).   In the fifth week, several arms of the immune response were tested using   the T-cell based phytohemagglutinin (PHA) skin test, the B-cell mediated   antibody response, and the chemiluminescence assay measuring innate   immunity. After the sixth week of malathion exposure, quail were   challenged with E. coli O2. The bursa of Fabricius and the spleen were   assessed for histopathology. No clinical signs of malathion toxicity   were observed. Morbidity or mortality subsequent to E. coli exposure   tended (P = 0.08) to be higher in the high exposure group (50.0\%)   compared to the control (22.2\%) group. There was no difference in the   innate immune response in the malathion exposed birds, however, humoral   immunity was suppressed (P = 0.03) with the higher malathion exposure.   Histopathological evaluation revealed an immunosuppressive effect of   malathion on the bursa of Fabricius; bursal atrophy, decreased B-cell   density and increased apoptosis in the medulla, and increased connective   tissue thickness of the follicular epithelium. Antibody suppression was   correlated with bursal changes and peripheral blood lymphocyte count,   the organ and cells involved in antibody production. Following the same   pattern as other immunotoxicity tests, the PHA T-cell proliferative   response also tended to be suppressed in the high exposure group. This   study provides evidence that subchronic, moderate malathion exposure is   immunotoxic to quail and that testing integrated, functional immunity   using an infectious challenge is a better predictor of immunotoxicity   than individual responses to immunotoxicity tests. The secondary   antibody response, circulating lymphocyte populations, and bursal   histopathology were the most sensitive indicators of immune status, as   these predicted decreased disease resistance with malathion exposure.",1902,NO,CS,,,
"Holly T. Dublin, Joseph O. Ogutu",2015,Population regulation of African buffalo in the Mara-Serengeti ecosystem,WILDLIFE RESEARCH,382-393,382-393,10.1071/WR14205,"Context. The processes regulating ungulate populations have been the   focus of numerous studies. For the African buffalo (Syncerus caffer   Sparrman) population inhabiting the Mara-Serengeti ecosystem, rinderpest   was the primary regulatory factor up to the mid-1960s. Following   reduction of rinderpest and buffalo population increase, interspecific   competition for food, notably with cattle and wildebeest (Connochaetes   taurinus Burchell), was thought to be the primary regulatory factor in   the ecosystem.   Aims. We analysed buffalo population trends and the relationship between   buffalo population growth and rainfall and density dependence in the   Mara-Serengeti ecosystem and discuss the findings in the context of the   key ecosystem processes governing buffalo population dynamics in African   savannas, namely, food limitation, competition, predation, disease and   land use changes.   Methods. We analysed buffalo population dynamics in the Mara-Serengeti   ecosystem in relation to rainfall and density dependence feedback   between 1984 and 2010.   Key results. Buffalo population growth was both significantly   density-dependent and positively correlated with the dry season rainfall   after, but not before, a severe drought in 1993. Buffalo numbers crashed   by 48.6\% in 1984-85 and by 76.1\% in 1993-94 during severe droughts   when food availability was lowest and competition with the more numerous   cattle and wildebeest was highest.   Conclusions. Recovery of buffalo numbers to pre-drought levels took 8-9   years after the 1984-85 drought but was much slower, with buffaloes   numbering merely 36\% of their 1993 population (12 895 animals) 18 years   after the 1993-94 drought despite intermittent periods of high rainfall,   probably due to demographic and/or reproductive factors, heightened   competition with livestock, land use changes in the adjoining pastoral   ranches, lion predation and recurrent severe droughts.   Implications. Our findings demonstrate how food limitation caused by   droughts associated with the hemispheric El NiNo-Southern Oscillation   can cause severe declines in and threaten the persistence of large   ungulate populations. The findings also portray how density-dependent   food limitation, competition, predation, land use changes and other   factors can accentuate the effect of droughts and greatly prolong   population recovery.",1903,NO,CS,,,
"Taal Levi, Felicia Keesing, Robert D. Holt, Michael Barfield, Richard S. Ostfeld",2016,Quantifying dilution and amplification in a community of hosts for   tick-borne pathogens,ECOLOGICAL APPLICATIONS,484-498,484-498,10.1890/15-0122,"Recent controversy over whether biodiversity reduces disease risk   (dilution effect) has focused on the ecology of Lyme disease, a   tick-borne zoonosis. A criticism of the dilution effect is that   increasing host species richness might amplify disease risk, assuming   that total host abundance, and therefore feeding opportunities for   ticks, increase with species richness. In contrast, a dilution effect is   expected when poor quality hosts for ticks and pathogens (dilution   hosts) divert tick blood meals away from competent hosts. Even if host   densities are additive, the relationship between host density and tick   encounters can be nonlinear if the number of ticks that encounter a host   is a saturating function of host density, which occurs if ticks   aggregate on the remaining hosts rather than failing to find a host   before death. Both dilution and amplification are theoretical   possibilities, and assessing which is more prevalent required detailed   analyses of empirical systems. We used field data to explore the degree   of tick redistribution onto fewer individuals with variation in   intraspecific host density and novel data-driven models for tick   dynamics to determine how changes in vertebrate community composition   influence the density of nymphs infected with the Lyme bacterium. To be   conservative, we allowed total host density to increase additively with   species richness. Our long-term field studies found that larval and   nymphal ticks redistribute onto fewer individuals as host densities   decline, that a large proportion of nymphs and adults find hosts, and   that mice and chipmunks feed a large proportion of nymphs. White-footed   mice, eastern chipmunks, short-tailed shrews, and masked shrews were   important amplification hosts that greatly increased the density of   infected nymphs. Gray squirrels and Virginia opossums were important   dilution hosts. Removing these two species increased the maximum number   of larvae attached to amplification hosts by 57\%. Raccoons and birds   were minor dilution hosts under some conditions. Even under the   assumption of additive community assembly, some species are likely to   reduce the density of infected nymphs as diversity increases. If the   assumption of additivity is relaxed, then species that reduce the   density of small mammals through predation or competition might   substantially reduce disease risk.",1904,NO,CS,,,
"Aaron Morris, Jean-Francois Guegan, M. Eric Benbow, Heather Williamson, Pamela L. C. Small, Charles Quaye, Daniel Boakye, Richard W. Merritt, Rodolphe E. Gozlan",2016,Functional Diversity as a New Framework for Understanding the Ecology of   an Emerging Generalist Pathogen,ECOHEALTH,570-581,570-581,10.1007/s10393-016-1140-x,"Emerging infectious disease outbreaks are increasingly suspected to be a   consequence of human pressures exerted on natural ecosystems.   Previously, host taxonomic communities have been used as indicators of   infectious disease emergence, and the loss of their diversity has been   implicated as a driver of increased presence. The mechanistic details in   how such pathogen-host systems function, however, may not always be   explained by taxonomic variation or loss. Here we used machine learning   and methods based on Gower's dissimilarity to quantify metrics of   invertebrate functional diversity, in addition to functional groups and   their taxonomic diversity at sites endemic and non-endemic for the model   generalist pathogen Mycobacterium ulcerans, the causative agent of   Buruli ulcer. Changes in these metrics allowed the rapid categorisation   of the ecological niche of the mycobacterium's hosts and the ability to   relate specific host traits to its presence in aquatic ecosystems. We   found that taxonomic diversity of hosts and overall functional diversity   loss and evenness had no bearing on the mycobacterium's presence, or   whether the site was in an endemic area. These findings, however,   provide strong evidence that generalist environmentally persistent   bacteria such as M. ulcerans can be associated with specific functional   traits rather than taxonomic groups of organisms, increasing our   understanding of emerging disease ecology and origin.",1905,NO,CS,,,
"Salah-Eddin Araj, Steve Wratten, Alison Lister, Hannah Buckley",2008,"Floral diversity, parasitoids and hyperparasitoids - A laboratory   approach",BASIC AND APPLIED ECOLOGY,588-597,588-597,10.1016/j.baae.2007.08.001,"Adding floral resources to acyro-ecosystems to improve biological   control can enhance the survival. egg load, and parasitism rate of   insect parasitoids. However, this may not always be the case because the   herbivore may benefit from the added resource as much as, or more than   the third-trophic level. In addition. the natural enemies of those in   the third-trophic level may also derive improved fitness from the added   resources. Both these processes will dampen trophic cascades, leading to   less-effective biological control. In this study, the effect of-adding,   different flowering plants on the longevity, egg load, aphid parasitisms   rates are hyperparasitism of Aphidius ervi Haliday (Hymenoptera:   Braconidae) by its hyperparasitoid Dendrocerus aphidum Rondani   (Hymenoptera: Megaspilidae) were investigated, using the pea aphid   Acrythosiphon pisum Harris (Homoptera: Aphididae) as the herbivore.   Parasitoids exposed to buckwheat survived, oil average, between four to   five times Lis long as those in the control (water) and those in   phacelia, alyssum and coriander treatments survived three to four times   as long. Hyperparasitoids exposed to buckwheat survived five to six   times Lis long as those in the control and three to live times longer   with the other plants compared with the control. Almost all flower   species significantly increased parasitoid and hyperparasitoid egg loads   and the number of parasitised aphids and parasitised mummies compared   with control. Understanding the factors influencing the dynamics of   multitrophic interactions involving flowering plants, herbivores,   parasitoids and hyperparasitoids is a fertile area for future research.   One of the most challenging areas in contemporary ecology concerns the   relative importance of different types of biodiversity mediating trophic   interactions and thereby influencing the structure of communities and   food webs. This paper begins to explore this Using an experimental,   laboratory-based approach. (C) 2007 Gesellschaft fur Okologic. Published   by Elsevier GmbH. All rights reserved.",1906,NO,CS,,,
"Eduardo Contreras-Blancas, Victor M. Ruiz-Valdiviezo, Fortunata Santoyo-Tepole, Marco Luna-Guido, Rocio Meza-Gordillo, Luc Dendooven, Federico A. Gutierrez-Miceli",2014,"Evaluation of Worm-Bed Leachate as an Antifungal Agent against   Pathogenic Fungus, Colletotrichum gloeosporioides",COMPOST SCIENCE \& UTILIZATION,23-32,23-32,10.1080/1065657X.2013.870944,"Worm-bed leachate is a nutrient-rich by-product of composting organic   wastes with earthworms. Worm-bed leachate was stored and characterized   while its possible antifungal activity towards the pathogenic fungus   Colletotrichum gloeosporioides (Penz.) Penz. and Sacc. was investigated   in vitro. The pH decreased from 9.6 at the onset of the storage to 8.9   after 28 days, while the total N and C nearly halved. The surfactin   concentration in the worm-bed leachate reached 10.8 mu g L-1 at day 10,   while that of iturin A and iturin A homologues increased towards the end   of the storage. Sterilized worm-bed leachate had little effect on the   growth of C. gloeosporioides, but unsterilized worm-bed leachate   inhibited growth 100\%. It was found that unsterilized worm-bed leachate   inhibited growth of C. gloeosporioides, but sterilizing the worm-bed   leachate strongly reduced the inhibitory effect indicating that the   microorganisms in the worm-bed leachate out-competed the fungus for   nutrients or were antagonistic towards it.",1907,NO,CS,,,
"Jennifer A. Rudgers, Samuel Orr",2009,Non-native grass alters growth of native tree species via leaf and soil   microbes,JOURNAL OF ECOLOGY,247-255,247-255,10.1111/j.1365-2745.2008.01478.x,"1. Non-native plants can alter both native microbe communities and   ecosystem processes. These changes may indirectly affect native plant   communities. We tested whether an invasive plant influences other plant   species through above- and below-ground microbial associations. These   factors have received less attention than direct competition for   resources in research on plant invasions.   2. Previous work in the mid-western US revealed that the above-ground   fungal endophyte (Neotyphodium coenophialum) in non-native tall fescue   grass (Lolium arundinaceum) reduced establishment of native tree   species, slowing plant succession from grassland to forest relative to   communities lacking the symbiont. Here, we examined potential   soil-mediated mechanisms underlying these negative impacts on trees.   3. We challenged nine tree species with soil conditioned by tall fescue   grass either with (E+) or without (E-) the symbiotic endophyte. We   collected field soil from replicated, experimental E+ and E-field plots,   sterilized half to eliminate soil microbes, then conditioned the soil in   the greenhouse with either E+ or E-tall fescue. Individual tree seeds   received one of five soil treatments: E-live, E sterile, E+ live, E+   sterile, or no tall fescue conditioning (control). Tree survival and   biomass were assessed after approximately 80 days.   4. Soil conditioning by E+ tall fescue reduced the biomass of three tree   species (Elaeagnus umbellata, Fraxinus pennsylvanica, Platanus   occidentalis) and the survival of P. occidentalis relative to   conditioning by E-tall fescue. However, decreased biomass occurred only   in live soil, suggesting indirect effects of the endophyte via altered   soil microbes. In addition, two species (F. pennsylvanica, Prunus   serotina) grew larger in both unconditioned soils and E-live soil   relative to all other soil treatments, and two species (Ailanthus   altissima, P. occidentalis) performed poorly in all soil treatments   relative to unconditioned soil. Finally, three species did not   significantly respond to any soil treatment (Acer negundo, Quercus   palustris, Cercis canadensis).   5. Synthesis. Our results show that negative impacts of a non-native   grass on native trees can depend on both above-and below-ground   microbial associations. Because tree species responded divergently to   soil conditioning, the endophyte symbiosis has the potential to alter   plant succession and the future composition of forest communities.",1908,NO,CS,,,
"Elizabeth T. Borer, Eric M. Lind, Eric J. Ogdahl, Eric W. Seabloom, David Tilman, Rebecca A. Montgomery, Linda L. Kinkel",2015,Food-web composition and plant diversity control foliar nutrient content   and stoichiometry,JOURNAL OF ECOLOGY,1432-1441,1432-1441,10.1111/1365-2745.12461,"The content and ratio of nutrients in plants can be constrained by a   wide array of factors, including nutrient supply, light intensity,   herbivory, infection or intrinsic growth rate and can, in turn, affect   many ecosystem processes including photosynthesis, decomposition,   resource limitation and nutrient cycling. Studies of plant stoichiometry   and stoichiometric homeostasis have focused primarily on the role of   nutrient supply as a constraint on plant tissue chemistry, yet recent   work suggests that local plant diversity, plant species composition and   consumers may change the nutrient composition of whole plant   communities. By experimentally removing insects, foliar fungi and soil   fungi from a long-term experiment manipulating plant diversity, we found   that the foliar stoichiometry of individual plant species depends on   biotic context. Local plant diversity and the composition of the   consumer community each altered foliar tissue carbon and nutrient   chemistry of four different grassland species. The greatest impacts of   consumers on foliar chemistry occurred at low plant diversity, and these   changes induced by altering the food web were of a similar magnitude to   the effects of fertilization or drought found in previous work.   Consumers and plant diversity acted primarily on foliar carbon and   nitrogen, whereas changes in foliar phosphorus were associated with the   productivity of the local plant community. Thus, changes in   whole-community stoichiometry that have been documented in response to   alterations of the consumer food web or plant community are underlain by   stoichiometric changes in individual species as well as plant species   compositional changes.Synthesis. These results suggest a new pathway by   which loss of consumer or plant diversity may significantly impact the   wide variety of ecosystem processes that depend on foliar nutrient   content.",1909,YES,CS,no,effects of PP and non-PP not separable,
