AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Vesna Gagic, Sebastian Haenke, Carsten Thies, Christoph Scherber, Zeljko Tomanovic, Teja Tscharntke",2012,"Agricultural intensification and cereal aphid-parasitoid-hyperparasitoid   food webs: network complexity, temporal variability and parasitism rates",OECOLOGIA,1099-1109,1099-1109,10.1007/s00442-012-2366-0,"Agricultural intensification (AI) is currently a major driver of   biodiversity loss and related ecosystem functioning decline. However,   spatio-temporal changes in community structure induced by AI, and their   relation to ecosystem functioning, remain largely unexplored. Here, we   analysed 16 quantitative cereal aphid-parasitoid and   parasitoid-hyperparasitoid food webs, replicated four times during the   season, under contrasting AI regimes (organic farming in complex   landscapes vs. conventional farming in simple landscapes). High AI   increased food web complexity but also temporal variability in   aphid-parasitoid food webs and in the dominant parasitoid species   identity. Enhanced complexity and variability appeared to be controlled   bottom-up by changes in aphid dominance structure and evenness. Contrary   to the common expectations of positive biodiversity-ecosystem   functioning relationships, community complexity (food-web complexity,   species richness and evenness) was negatively related to primary   parasitism rates. However, this relationship was positive for secondary   parasitoids. Despite differences in community structures among different   trophic levels, ecosystem services (parasitism rates) and disservices   (aphid abundances and hyperparasitism rates) were always higher in   fields with low AI. Hence, community structure and ecosystem functioning   appear to be differently influenced by AI, and change differently over   time and among trophic levels. In conclusion, intensified agriculture   can support diverse albeit highly variable parasitoid-host communities,   but ecosystem functioning might not be easy to predict from observed   changes in community structure and composition.",1087,N,ER,,,
"Thomas A. Ebert, Louis M. Barr, James L. Bodkin, Dirk Burcham, Dominique Bureau, Henry S. Carson, Nancy L. Caruso, Jennifer E. Caselle, Jeremy T. Claisse, Sabrina Clemente, Kathryn Davis, Paul M. Detwiler, John D. Dixon, David O. Duggins, John M. Engle, James A. Estes, Scott D. Groth, Benjamin M. Grupe, Peter Halmay, Kyle P. Hebert, Jose C. Hernandez, Laura J. Jurgens, Peter E. Kalvass, Michael C. Kenner, Brenda Konar, David J. Kushner, Lynn C. Lee, David L. Leighton, Gabriela Montano-Moctezuma, J. Eric Munk, Irma Olguin, Julio S. Palleiro, David O. Parker, John S. Pearse, Daniel J. Pondella, Laura Rogers-Bennett, Stephen C. Schroeter, Andrew Olaf Shelton, Jorge Sonnenholzner, Ian K. Taniguchi, Glenn R. VanBlaricom, Jane C. Watson, Benjamin P. Weitzman, Jonathan P. Williams, Jennifer Yakimishyn, Zane Zhang",2018,"Size, growth, and density data for shallow-water sea urchins from Mexico   to the Aleutian Islands, Alaska, 1956-2016",ECOLOGY,761,761,10.1002/ecy.2123,"Size, growth, and density have been studied for North American Pacific   coast sea urchins Strongylocentrotus purpuratus, S.droebachiensis,   S.polyacanthus, Mesocentrotus (Strongylocentrotus) franciscanus,   Lytechinus pictus, Centrostephanus coronatus, and Arbacia stellata by   various workers at diverse sites and for varying lengths of time from   1956 to present. Numerous peer-reviewed publications have used some of   these data but some data have appeared only in graduate theses or the   gray literature. There also are data that have never appeared outside   original data sheets. Motivation for studies has included fisheries   management and environmental monitoring of sewer and power plant   outfalls as well as changes associated with disease epidemics. Studies   also have focused on kelp restoration, community effects of sea otters,   basic sea urchin biology, and monitoring. The data sets presented here   are a historical record of size, density, and growth for a common group   of marine invertebrates in intertidal and nearshore environments that   can be used to test hypotheses concerning future changes associated with   fisheries practices, shifts of predator distributions, climate and   ecosystem changes, and ocean acidification along the Pacific Coast of   North America and islands of the north Pacific. No copyright   restrictions apply. Please credit this paper when using the data.",1088,N,ER,,,
F. J. Frank van Veen,2015,Plant-modified trophic interactions,CURRENT OPINION IN INSECT SCIENCE,29-33,29-33,10.1016/j.cois.2015.02.009,"Plants can modify the interactions between herbivorous insects and their   natural enemies in various ways. Chemical defences from the plants   against herbivores may in fact harm the latter's natural enemies,   thereby weakening the trophic interaction. On the other hand, volatile   chemicals produced by the plant in response to herbivory may attract   natural enemies, thereby strengthening the interaction. Recent research   shows that effects of plants on insect interactions are not curious   phenomena confined to a few specialist species but rather that they are   ubiquitous in terrestrial ecosystems and often involve complex   interactions among many species. The major challenge now is to study how   the commonly reported short-term effects of plants affect long term   dynamics of insect interactions in the context of complex natural   communities.",1089,N,ER,,,
Brenda J. Grewell,2008,Parasite facilitates plant species coexistence in a coastal wetland,ECOLOGY,1481-1488,1481-1488,10.1890/07-0896.1,"Outbreaks of infectious agents in natural ecosystems are on the rise.   Understanding host-pathogen interactions and their impact on community   composition may be central to the conservation of biological diversity.   Infectious agents can convey both exploitive and facilitative effects   that regulate host populations and community structure. Parasitic   angiosperms are highly conspicuous in many plant communities, and they   provide a tractable model for understanding parasite effects in   multispecies communities. I examined host identity and variation in host   infectivity of a holoparasitic vine (Cuscuta salina) within a California   salt marsh. In a two-year parasite removal experiment, I measured the   effect of C. salina on its most frequent host, a rare hemiparasite, and   the plant community. C. salina clearly suppressed the dominant host, but   rare plant fitness and plant species diversity were enhanced through   indirect effects. Priority effects played a role in the strength of the   outcome due to the timing of life history characteristics. The   differential influence of parasites on the fecundity of multiple hosts   can change population dynamics, benefit rare species, and alter   community structure. The continuum of negative to positive consequences   of parasitic interactions deserves more attention if we are to   understand community dynamics and successfully restore tidal wetlands.",1090,N,ER,,,
"Maiko Kagami, Yosuke Amano, Nobuyoshi Ishii",2012,"Community Structure of Planktonic Fungi and the Impact of Parasitic   Chytrids on Phytoplankton in Lake Inba, Japan",MICROBIAL ECOLOGY,358-368,358-368,10.1007/s00248-011-9913-9,"Freshwater fungi have received little attention by scientific research   in recent years, especially fungi of the pelagic zone. Recently,   parasitic fungi, termed chytrids, have been found to play important   roles in aquatic food webs. Yet, the diversity and community structure   of planktonic fungi including chytrids are not well studied. In this   study, we examined the temporal fluctuations of freshwater fungi,   including chytrids, in Lake Inba by using molecular techniques of   denaturing gradient gel electrophoresis (DGGE). DGGE profiles, and   associated sequence analysis, indicated that chytrids were present on   all sampling dates from May to October (n = 12). In addition, analysis   showed that a large proportion of the sequences belonged to chytrids of   both parasitic and saprotrophic species. This finding was supported by   microscopic observations using Calcofluor white to stain chytrids   infecting various phytoplankton species. The percentages of infection by   chytrids on two dominant diatom species, Aulacoseira granulata and   Aulacoseira ambigua, showed a similar seasonal pattern in the DGGE band   profiles. From the phylogenetic analysis and microscopic identification,   the chytrids infecting the two diatoms are likely to be affiliated to   Chytriomyces sp. and Zygorhizidium sp.. This is the first study to show   that DGGE is a useful preliminary approach for examining the diversity   of planktonic fungi including chytrids. Our results indicate both   parasitic and saprotrophic chytrids are a significant component of   freshwater fungi inhabiting the pelagic zone of Lake Inba, Japan.   Further modification of DGGE, together with new molecular techniques and   microscopic observation, would reveal the hidden diversity and   ecological significance of planktonic fungi in aquatic ecosystems.",1091,N,ER,,,
"L. D. C. Lopez-Pascua, A. Buckling",2008,Increasing productivity accelerates host-parasite coevolution,JOURNAL OF EVOLUTIONARY BIOLOGY,853-860,853-860,10.1111/j.1420-9101.2008.01501.x,"Host-parasite coevolution is believed to influence a range of   evolutionary and ecological processes, including population dynamics,   evolution of diversity, sexual reproduction and parasite virulence. The   impact of coevolution on these processes will depend on its rate, which   is likely to be affected by the energy flowing through an ecosystem, or   productivity. We addressed how productivity affected rates of   coevolution during a coevolutionary arms race between experimental   populations of bacteria and their parasitic viruses (phages). As   hypothesized, the rate of coevolution between bacterial resistance and   phage infectivity increased with increased productivity. This   relationship can in part be explained by reduced competitiveness of   resistant bacteria in low compared with high productivity environments,   leading to weaker selection for resistance in the former. The data   further suggest that variation in productivity can generate variation in   selection for resistance across landscapes, a result that is crucial to   the geographic mosaic theory of coevolution.",1092,N,ER,,,
"Ross K. Meentemeyer, Nik J. Cunniffe, Alex R. Cook, Joao A. N. Filipe, Richard D. Hunter, David M. Rizzo, Christopher A. Gilligan",2011,Epidemiological modeling of invasion in heterogeneous landscapes: spread   of sudden oak death in California (1990-2030),ECOSPHERE,NA,NA,10.1890/ES10-00192.1,"The spread of emerging infectious diseases (EIDs) in natural   environments poses substantial risks to biodiversity and ecosystem   function. As EIDs and their impacts grow, landscape-to regional-scale   models of disease dynamics are increasingly needed for quantitative   prediction of epidemic outcomes and design of practicable strategies for   control. Here we use spatio-temporal, stochastic epidemiological   modeling in combination with realistic geographical modeling to predict   the spread of the sudden oak death pathogen (Phytophthora ramorum)   through heterogeneous host populations in wildland forests, subject to   fluctuating weather conditions. The model considers three stochastic   processes: (1) the production of inoculum at a given site; (2) the   chance that inoculum is dispersed within and among sites; and (3) the   probability of infection following transmission to susceptible host   vegetation. We parameterized the model using Markov chain Monte Carlo   (MCMC) estimation from snapshots of local-and regional-scale data on   disease spread, taking account of landscape heterogeneity and the   principal scales of spread. Our application of the model to Californian   landscapes over a 40-year period (1990-2030), since the approximate time   of pathogen introduction, revealed key parameters driving the spatial   spread of disease and the magnitude of stochastic variability in   epidemic outcomes. Results show that most disease spread occurs via   local dispersal (, 250 m) but infrequent long-distance dispersal events   can substantially accelerate epidemic spread in regions with high host   availability and suitable weather conditions. In the absence of   extensive control, we predict a ten-fold increase in disease spread   between 2010 and 2030 with most infection concentrated along the north   coast between San Francisco and Oregon. Long-range dispersal of inoculum   to susceptible host communities in the Sierra Nevada foothills and   coastal southern California leads to little secondary infection due to   lower host availability and less suitable weather conditions. However, a   shift to wetter and milder conditions in future years would double the   amount of disease spread in California through 2030. This research   illustrates how stochastic epidemiological models can be applied to   realistic geographies and used to increase predictive understanding of   disease dynamics in large, heterogeneous regions.",1093,N,ER,,,
"Martin Vohnik, Zuzana Burdikova, Ales Vyhnal, Ondrej Koukol",2011,Interactions Between Testate Amoebae and Saprotrophic Microfungi in a   Scots Pine Litter Microcosm,MICROBIAL ECOLOGY,660-668,660-668,10.1007/s00248-010-9777-4,"In all terrestrial ecosystems, testate amoebae (TA) encounter fungi.   There are strong indications that both groups engage in multiple   interactions, including mycophagy and decomposition of TA shells,   processes which might be fundamental in nutrient cycling in certain   ecosystems. Here, we present the results of an experiment focusing on   interactions between TA and saprotrophic microfungi colonizing Scots   pine (Pinus sylvestris L.) litter needles. The needles were collected   from a temperate pine forest and cultivated in damp chambers. Over a few   weeks, melanized mycelium of Anavirga laxa Sutton started to grow out of   some needles; simultaneously, the common forest-soil TA Phryganella   acropodia (Hertwig and Lesser) Hopkinson reproduced and spread around   the mycelium. We investigated whether a potential relationship between   TA and saprotrophic microfungi exists by comparing the composition of TA   communities on and around the needles and testing the spatial   relationship between the A. laxa mycelium and P. acropodia shells in the   experimental microcosm. Additionally, we asked whether P. acropodia   utilized the A. laxa mycelium as a nutrient source and screened whether   P. acropodia shells were colonized by the microfungi inhabiting the   experimental microcosm. Our results indicate that saprotrophic   microfungi may affect the composition of TA communities and their   mycelium may affect distribution of TA individuals in pine litter. Our   observations suggest that P. acropodia did not graze directly on A. laxa   mycelium, but rather fed on its exudates or bacteria associated with the   exudates. The fungus Pochonia bulbillosa (Gams \& Malla) Zare \& Gams   was often found parasitising encysted shells or decomposing already dead   individuals of P. acropodia. TA and pine litter microfungi engage in   various direct and indirect interactions which are still poorly   understood and deserve further investigation. Their elucidation will   improve our knowledge on fundamental processes influencing coexistence   of soil microflora and microfauna.",1094,N,ER,,,
"Camille Mellin, M. Aaron MacNeil, Alistair J. Cheal, Michael J. Emslie, M. Julian Caley",2016,Marine protected areas increase resilience among coral reef communities,ECOLOGY LETTERS,629-637,629-637,10.1111/ele.12598,"With marine biodiversity declining globally at accelerating rates,   maximising the effectiveness of conservation has become a key goal for   local, national and international regulators. Marine protected areas   (MPAs) have been widely advocated for conserving and managing marine   biodiversity yet, despite extensive research, their benefits for   conserving non-target species and wider ecosystem functions remain   unclear. Here, we demonstrate that MPAs can increase the resilience of   coral reef communities to natural disturbances, including coral   bleaching, coral diseases, Acanthaster planci outbreaks and storms.   Using a 20-year time series from Australia's Great Barrier Reef, we show   that within MPAs, (1) reef community composition was 21-38\% more   stable; (2) the magnitude of disturbance impacts was 30\% lower and (3)   subsequent recovery was 20\% faster that in adjacent unprotected   habitats. Our results demonstrate that MPAs can increase the resilience   of marine communities to natural disturbance possibly through herbivory,   trophic cascades and portfolio effects.",1095,N,ER,,,
"A. Randall Hughes, Torrance C. Hanley, James E. Byers, Jonathan H. Grabowski, Jennafer C. Malek, Michael F. Piehler, David L. Kimbro",2017,Genetic by environmental variation but no local adaptation in oysters   (Crassostrea virginica),ECOLOGY AND EVOLUTION,697-709,697-709,10.1002/ece3.2614,"Functional trait variation within and across populations can strongly   influence population, community, and ecosystem processes, but the   relative contributions of genetic vs. environmental factors to this   variation are often not clear, potentially complicating conservation and   restoration efforts. For example, local adaptation, a particular type of   genetic by environmental (G*E) interaction in which the fitness of a   population in its own habitat is greater than in other habitats, is   often invoked in management practices, even in the absence of supporting   evidence. Despite increasing attention to the potential for G*E   interactions, few studies have tested multiple populations and   environments simultaneously, limiting our understanding of the spatial   consistency in patterns of adaptive genetic variation. In addition, few   studies explicitly differentiate adaptation in response to predation   from other biological and environmental factors. We conducted a   reciprocal transplant experiment of first-generation eastern oyster   (Crassostrea virginica) juveniles from six populations across three   field sites spanning 1000 km in the southeastern Atlantic Bight in both   the presence and absence of predation to test for G*E variation in   this economically valuable and ecologically important species. We   documented significant G*E variation in survival and growth, yet there   was no evidence for local adaptation. Condition varied across oyster   cohorts: Offspring of northern populations had better condition than   offspring from the center of our region. Oyster populations in the   southeastern Atlantic Bight differ in juvenile survival, growth, and   condition, yet offspring from local broodstock do not have higher   survival or growth than those from farther away. In the absence of   population-specific performance information, oyster restoration and   aquaculture may benefit from incorporating multiple populations into   their practices.",1096,N,ER,,,
