AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,notes,include_article_review,exclude_reason,note,exclude_reason_original
"Paul C. Cross, Eric J. Maichak, Jared D. Rogerson, Kathryn M. Irvine, Jennifer D. Jones, Dennis M. Heisey, William H. Edwards, Brandon M. Scurlock",2015,Estimating the phenology of elk brucellosis transmission with   hierarchical models of cause-specific and baseline hazards,JOURNAL OF WILDLIFE MANAGEMENT,739-748,739-748,10.1002/jwmg.883,"Understanding the seasonal timing of disease transmission can lead to   more effective control strategies, but the seasonality of transmission   is often unknown for pathogens transmitted directly. We inserted vaginal   implant transmitters (VITs) in 575 elk (Cervus elaphus canadensis) from   2006 to 2014 to assess when reproductive failures (i.e., abortions or   still births) occur, which is the primary transmission route of Brucella   abortus, the causative agent of brucellosis in the Greater Yellowstone   Ecosystem. Using a survival analysis framework, we developed a Bayesian   hierarchical model that simultaneously estimated the total baseline   hazard of a reproductive event as well as its 2 mutually exclusive parts   (abortions or live births). Approximately, 16\% (95\% CI=0.10, 0.23) of   the pregnant seropositive elk had reproductive failures, whereas 2\%   (95\% CI=0.01, 0.04) of the seronegative elk had probable abortions.   Reproductive failures could have occurred as early as 13 February and as   late as 10 July, peaking from March through May. Model results suggest   that less than 5\% of likely abortions occurred after 6 June each year   and abortions were approximately 5 times more likely in March, April, or   May compared to February or June. In western Wyoming, supplemental   feeding of elk begins in December and ends during the peak of elk   abortions and brucellosis transmission (i.e., Mar and Apr). Years with   more snow may enhance elk-to-elk transmission on supplemental feeding   areas because elk are artificially aggregated for the majority of the   transmission season. Elk-to-cattle transmission will depend on the   transmission period relative to the end of the supplemental feeding   season, elk seroprevalence, population size, and the amount of   commingling. Our statistical approach allowed us to estimate the   probability density function of different event types over time, which   may be applicable to other cause-specific survival analyses. It is often   challenging to assess the cause of death, or in this case whether the   reproductive event was an abortion or live birth. Accounting for   uncertainty in the event type is an important future addition to our   methodological approach. Published 2015. This article is a U.S.   Government work and is in the public domain in the USA.",1,NO,IF,,,,,
"P. Wanjugi, G. A. Fox, V. J. Harwood",2016,"The Interplay Between Predation, Competition, and Nutrient Levels   Influences the Survival of Escherichia coli in Aquatic Environments",MICROBIAL ECOLOGY,526-537,526-537,10.1007/s00248-016-0825-6,"Nutrient levels, competition from autochthonous microorganisms, and   protozoan predation may all influence survival of fecal microorganisms   as they transition from the gastrointestinal tract to aquatic habitats.   Although Escherichia coli is an important indicator of waterborne   pathogens, the effects of environmental stressors on its survival in   aquatic environments remain poorly understood. We manipulated organic   nutrient, predation, and competition levels in outdoor microcosms   containing natural river water, sediments, and microbial populations to   determine their relative contribution to E. coli survival. The   activities of predator (protozoa) and competitor (indigenous bacteria)   populations were inhibited by adding cycloheximide or kanamycin. We   developed a statistical model of E. coli density over time that fits   with the data under all experimental conditions. Predation and   competition had significant negative effects on E. coli survival, while   higher nutrient levels increased survival. Among the main effects,   predation accounted for the greatest variation (40 \%) compared with   nutrients (25 \%) or competition (15 \%). The highest nutrient level   mitigated the effect of predation on E. coli survival. Thus, elevated   organic nutrients may disproportionately enhance the survival of E.   coli, and potentially that of other enteric bacteria, in aquatic   habitats.",2,NO,IF,,,,,
"Leonardo Tagle, Roberto Murua, Mireya Briones, Rene Montalba, Xavier Lambin",2013,Determination of minimal age of five species of Chusquea bamboos through   rhizome analysis as a tool to predict the flowering in southern Chile,REVISTA CHILENA DE HISTORIA NATURAL,423-432,423-432,10.4067/S0716-078X2013000400004,"Synchronous flowering and subsequent drying up of bamboos of the genus   Chusquea are important processes in the dynamics and structure of many   forest ecosystems. In southern South America, bamboo flowering and   subsequent mast seeding trigger rodent outbreaks associated with   zoonotic diseases. Predicting future flowering events requires knowledge   of the age of bamboo stands together with species-specific periodicity   in flowering. We explored whether it is possible to predict the minimum   age in bamboo plants based on the features of their rhizomes. We studied   bamboo stands of age known by the local people in 15 sites in the   coastal and Andes Mountains as well as in and the Central Valley of   southern Chile (37 degrees 48'- 43 degrees 58' S, from 12 to 1047   m.a.s.l.). For 164 individual plants, of five South American Chusquea   bamboo species (C. valdiviensis, C. uliginosa, C. culeou, C. montana,   and C. macrostachya), we collected and characterized the number and   shape of divisions of whole rhizomes. For all species sampled there was   a tight linear relationship between plant age and the number of rhizome   divisions or rhizomes, accounting for 11-99 \% of variation. In order to   overcome constraints caused by the limited number of age cohorts   available for individual species and to allow for prediction over a   wider range of age, we also fitted a common linear model to species with   similar age-rhizome relationships. We provide calibration relationships   that can be used for retrospectively estimating the date of last   flowering over large areas where bamboos form part of the understory and   for predicting the future flowering events.",3,NO,IF,,,,,
"Wolfgang Rabitsch, Franz Essl, Stefan Schindler",2017,The Rise of Non-native Vectors and Reservoirs of Human Diseases,NA,263-275,263-275,10.1007/978-3-319-45121-3\_17,"Globalisation has led to unprecedented changes in the distribution and   incidence of human diseases. Pathogens, animal vectors, and reservoir   species have been unintentionally displaced across natural geographic   boundaries, resulting in serious human suffering and enormous economic   costs. Non-native diseases can also threaten ecosystems and put   ecosystem services and human well-being at risk. Introduced species and   environmental interactions have caused manifold new risks and challenges   for public health. Mosquitoes and ticks are the most important   non-native vectors of human diseases, although many different species   can serve as non-native reservoir hosts. In addition to imports as   contaminants with cargo, the pet trade is an important pathway of   introduction for non-native vectors and reservoirs. Evidence suggests   that global environmental change will further facilitate emerging   outbreaks of non-native human diseases, some of which may be re-emerging   old foes. The complex interrelationships between native and non-native   hosts, vectors, and pathogens entail inherent uncertainties and make   predictions about future outbreaks very challenging. Natural ecosystems   provide a regulating service for human well-being, and the loss of   biodiversity therefore represents a serious threat to human health. The   linkages between humans, animals, and environmental health are becoming   more apparent and call for collaborative efforts ('One Health') towards   a more responsible ecosystem stewardship.",4,NO,IF,,,,,
"Luis A. Materon, Thomas Eubanks",2008,Isolation and characterization of nitrogen-fixing bacteria nodulating   Phaseolus vulgaris in the Lower Rio Grande Valley of Texas,TEXAS JOURNAL OF SCIENCE,97-112,97-112,NA,"To establish a highly effective symbiosis between a legume plant and its   bacterial symbiont it is essential to develop a successful program for   the selection of superior strains to maximize production through N-2   fixation. Nitrogen-fixing bacteria from representative soil series of   the Lower Rio Grande Valley region of southern Texas were examined for   their symbiotic association with common `Pinto' bean (Phaseolus vulgaris   L.). PCR-RFLP analyses of genes associated with nitrogen fixation   indicated that the bacterial isolates belong to the recently described   Rhizobium etli and none were identified as R. tropici. Examination of   symbiotic responses of the rhizobial isolates under controlled, aseptic   conditions, indicated that 20\% produced effective nodula-tion, 35\%   partially effective, and the remaining 45\% produced parasitic or   ineffective nodulation on the host legume. Strains UTPA-P 66, P82 and   P80, each isolated from a different soil series, accounted for maximum   plant response and nitrogen fixation activity. Although nodule   morphology and size markedly varied among isolates, those with the   highest tissue mass were associated with the highest production of shoot   biomass. Electron micrographs of cross sections of 2-week old nodules   indicated that effective bacterial cells were rod shaped, and more   abundant than those enclosed in the peribacteroid membranes of   ineffective nodules. To ensure adequate nodulation and N-2-fixation, it   is necessary to inoculate beans with locally isolated nitrogen-fixing   bacteria, regardless of any previous history of bean cultivation.",5,NO,IF,,,,,
"Ciera M. Mccoy, Craig M. Lind, Terence M. Farrell",2017,"Environmental and physiological correlates of the severity of clinical   signs of snake fungal disease in a population of pigmy rattlesnakes,   Sistrurus miliarius",CONSERVATION PHYSIOLOGY,NA,NA,10.1093/conphys/cow077,"In the past decade, snake fungal disease (SFD) has been identified as an   emerging threat to snake populations throughout the eastern USA. Snake   fungal disease is caused by the fungus Ophidiomyces ophiodiicola. Little   is known regarding the environmental or physiological variables that   affect host vulnerability and O. ophiodiicola virulence in wild snake   populations. Understanding the intrinsic and extrinsic factors that   correlate with infection severity is a key first step in understanding   hostpathogen dynamics. Host vulnerability may vary seasonally as a   result of thermal conditions or energetic trade-offs, and pathogen   growth rates or dispersal may be tied to seasonal trends in climate. To   determine whether season, environmental temperature or energetic   trade-offs associated with life-history stage influence an individual's   susceptibility to infection, we monitored the severity of clinical signs   of SFD, surface air temperature, reproductive status, body condition and   serum complement activity (plasma bactericidal ability) in free-ranging   pigmy rattlesnakes, Sistrurus miliarius, over the course of 18 months.   Seasonal increases in the severity of clinical signs of SFD were   correlated negatively with monthly air surface temperature and the mean   body condition of the population. Bactericidal ability varied   seasonally, but pigmy rattlesnakes suffering from active SFD infections   did not exhibit deficits in innate immune function. Infected snakes were   in significantly lower body condition when compared with the general   population, but seasonal patterns in the mean body condition of the   population were not driven by seasonal patterns of infection severity.   Our results highlight the potential importance of the thermal   environment and energetic status in determining infection severity and   outcomes and the need for managers and researchers to consider   seasonality of symptom presentation when the goal is to identify the   prevalence or incidence of SFD in populations.",6,NO,IF,,,,,
"Michael Mbenoun, Jeffrey R. Garnas, Michael J. Wingfield, Aime D. Begoude Boyogueno, Jolanda Roux",2017,Metacommunity analyses of Ceratocystidaceae fungi across heterogeneous   African savanna landscapes,FUNGAL ECOLOGY,76-85,76-85,10.1016/j.funeco.2016.09.007,"Metacommunity theory offers a powerful framework to investigate the   structure and dynamics of ecological communities. We used   Ceratocystidaceae fungi as an empirical system to explore the potential   of metacommunity principles to explain the incidence of putative fungal   tree pathogens in natural ecosystems. The diversity of Ceratocystidaceae   fungi was evaluated on elephant-damaged trees across the Kruger National   Park of South Africa. Multivariate statistics were then used to assess   the influence of landscapes, tree hosts and nitidulid beetle associates   as well as isolation by distance on fungal community structure. Eight   fungal and six beetle species were recovered from trees representing   several plant genera. The distribution of Ceratocystidaceae fungi was   highly heterogeneous across landscapes. Both tree host and nitidulid   vector emerged as key factors contributing to this heterogeneity, while   isolation by distance showed little influence. Our results are   consistent with a model of metacommunity dynamics combining species   sorting and patch dynamics processes. (C) 2016 Elsevier Ltd and British   Mycological Society. All rights reserved.",7,NO,IF,,,,,
"E. Hesse, A. Best, M. Boots, A. R. Hall, A. Buckling",2015,Spatial heterogeneity lowers rather than increases host-parasite   specialization,JOURNAL OF EVOLUTIONARY BIOLOGY,1682-1690,1682-1690,10.1111/jeb.12689,"Abiotic environmental heterogeneity can promote the evolution of diverse   resource specialists, which in turn may increase the degree of   host-parasite specialization. We coevolved Pseudomonas fluorescens and   lytic phage phi 2 in spatially structured populations, each consisting   of two interconnected subpopulations evolving in the same or different   nutrient media (homogeneous and heterogeneous environments,   respectively). Counter to the normal expectation, host-parasite   specialization was significantly lower in heterogeneous compared with   homogeneous environments. This result could not be explained by   dispersal homogenizing populations, as this would have resulted in the   heterogeneous treatments having levels of specialization equal to or   greater than that of the homogeneous environments. We argue that   selection for costly generalists is greatest when the coevolving species   are exposed to diverse environmental conditions and that this can   provide an explanation for our results. A simple coevolutionary model of   this process suggests that this can be a general mechanism by which   environmental heterogeneity can reduce rather than increase   host-parasite specialization.",8,NO,IF,,,,,
"M. Hafidi, L. Ouahmane, J. Thioulouse, H. Sanguin, A. Boumezzough, Y. Prin, E. Baudoin, A. Galiana, R. Duponnois",2013,Managing Mediterranean nurse plants-mediated effects on soil microbial   functions to improve rock phosphate solubilization processes and early   growth of Cupressus atlantica G,ECOLOGICAL ENGINEERING,57-64,57-64,10.1016/j.ecoleng.2013.04.006,"The main objective was to evaluate the impact of nurse plant species   commonly found in Mediterranean areas (Lavandula dentata and Thymus   satureoides) on microbial soil functions, on the native inoculum   potential of AM fungi involved in the rock phosphate weathering and to   measure the potential benefits to the growth of Atlas Cypress (Cupressus   atlantica G.), an endemic Cupressacea of Morocco. Soils collected from   an old C. atlantica forest and pre-cultivated with each of the target   plant species (L. dentata and T. satureoides). After 5 months of   cultivation, they were uprooted and the treated substrate was amended or   not with Khouribga Rock Phosphate (KRP). Then pots were filled with the   soil mixtures and planted with one pre-germinated seed of C. atlantica.   The results show that pre-cultivation step with native mycotrophic plant   species improves the mycorrhizal soil infectivity, modifies soil   microbial functionalities and increases the impact of rock phosphate   amendment on the C. atlantica growth. This low cost cultivation practice   by improving forest plant development and cultural soil quality   constitutes a promising ecological engineering tool to improve the   performances of ecosystem restoration. (C) 2013 Elsevier B.V. All rights   reserved.",9,NO,IF,,,,,
"Jeff R. Powell, Michael T. Monaghan, Maarja Oepik, Matthias C. Rillig",2011,Evolutionary criteria outperform operational approaches in producing   ecologically relevant fungal species inventories,MOLECULAR ECOLOGY,655-666,655-666,10.1111/j.1365-294X.2010.04964.x,"Analyses of the structure and function of microbial communities are   highly constrained by the diversity of organisms present within most   environmental samples. A common approach is to rely almost entirely on   DNA sequence data for estimates of microbial diversity, but to date   there is no objective method of clustering sequences into groups that is   grounded in evolutionary theory of what constitutes a biological   lineage. The general mixed Yule-coalescent (GMYC) model uses a   likelihood-based approach to distinguish population-level processes   within lineages from processes associated with speciation and   extinction, thus identifying a distinct point where extant lineages   became independent. Using two independent surveys of DNA sequences   associated with a group of ubiquitous plant-symbiotic fungi, we compared   estimates of species richness derived using the GMYC model to those   based on operational taxonomic units (OTUs) defined by fixed levels of   sequence similarity. The model predicted lower species richness in these   surveys than did traditional methods of sequence similarity. Here, we   show for the first time that groups delineated by the GMYC model better   explained variation in the distribution of fungi in relation to putative   niche-based variables associated with host species identity, edaphic   factors, and aspects of how the sampled ecosystems were managed. Our   results suggest the coalescent-based GMYC model successfully groups   environmental sequences of fungi into clusters that are ecologically   more meaningful than more arbitrary approaches for estimating species   richness.",10,NO,IF,,,,,
