AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Yu Fukasawa, Shunsuke Matsuoka",2015,Communities of wood-inhabiting fungi in dead pine logs along a   geographical gradient in Japan,FUNGAL ECOLOGY,75-82,75-82,10.1016/j.funeco.2015.09.008,"Fungi are the main agents of coarse woody debris decomposition in forest   ecosystems. We examined the associations of environmental variables with   fungal community structures in dead pine logs at 12 geographically   distant sites using amplicon pyrosequencing of fungal ITS rDNA. A total   of 575 operational taxonomic units (OTUs) were identified based on   clustering at 97\% similarity. Among the known fungal ecological groups,   saprotrophic fungi generally showed highest frequency of occurrence and   were positively associated with mean annual temperature (MAT) and log   diameter. Wood decay fungi with unknown decay type were positively   associated with pine wilt disease and negatively associated with log   diameter. Ordination analysis of the 42 most prevalent OTUs showed that   MAT and annual precipitation significantly explained the observed fungal   community structure. These results suggested that climate conditions and   site history differentially effect structure fungal communities in pine   logs among different ecological groups. (C) 2015 Elsevier Ltd and The   British Mycological Society. All rights reserved.",1629,NO,RO,,,
"P. Le Guigo, Y. Qu, J. Le Corff",2011,Plant-mediated effects on a toxin-sequestering aphid and its   endoparasitoid,BASIC AND APPLIED ECOLOGY,72-79,72-79,10.1016/j.baae.2010.10.006,"Variation in plant morphology and chemistry can directly influence the   performance of insect herbivores. A growing number of studies indicate   that plants can also influence the performance of the natural enemies of   the herbivores. Plant species in the Brassicaceae produce secondary   compounds known as glucosinolates (GLS) whose hydrolysis products are   potentially toxic to many herbivores. Some specialist insects are known   to sequester the GLS, but up to date, there is no data on impact of GLS   sequestration by insect herbivores on the performance of their   parasitoids. We asked whether the performance of the GLS-sequestering   aphid Brevicoryne brassicae and its parasitoid Diaeretiella rapae were   affected by the host plants on which they feed. We selected four host   plant species, one cultivar of Brassica oleracea and B. napus, and two   wild species, B. nigra and Sinapis arvensis. Among other traits, these   species differ in GLS content and composition as well as in some   morphological characteristics. Population growth rate of Br brassicae   was not affected by host plant species. However, adult aphids were the   smallest, but also lived the longest when they had developed on the B.   oleracea cultivar. Parasitoids were larger when their aphid hosts fed on   the wild species. Unexpectedly, parasitism rate was lower on B.   oleracea. Thus, variation in host plant characteristics had an impact on   the fitness of the parasitoid through its aphid host. In contrast to   previous studies, which have shown that sequestration is a good defence   mechanism against predators, we did not observe that Br brassicae   benefits from the sequestration of GLS to limit attacks by its main   parasitoid.",1630,no,RO,,,
Heloise Gibb,2012,How Might Terrestrial Arthropod Assemblages Have Changed After the   Dramatic Decline of Critical Weight Range (CWR) Mammals in Australia?   Using Reintroductions at Scotia Sanctuary as a Model for Pre-European   Ecosystems,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,A19-A26,A19-A26,NA,"In Australia, populations of mammals within the critical weight range   (CWR) of 35 to 5500 g have been severely affected by European   settlement, with twenty-two species having become extinct over the past   200 years. Many highly threatened CWR mammals, such as bilbies,   bandicoots and numbats, are insectivorous or omnivorous, and   invertebrates comprise a significant portion of their diet.   Additionally, such mammals cause significant disturbance to arthropod   habitats through burrowing and engage in a range of other interactions   with arthropods, including mutualisms, parasitism and competition. The   loss of this trophic level is thus likely to have had considerable   impacts on arthropods. Here, I consider the potential effects of the   dramatic decline of native omnivores on the abundance, diversity,   composition, morphology and functional roles performed by arthropods. I   also discuss reintroductions such as that at Scotia Sanctuary in western   NSW and other conservation sites as a model for understanding the   pre-European state of arthropod-CWR mammal interactions.",1631,NO,RO,,,
"Valeria Gambino, Andrea Micangeli, Vincenzo Naso, Emanuele Michelangeli, Luca Di Mario",2014,A Sustainable and Resilient Housing Model for Indigenous Populations of   the Mosquitia Region (Honduras),SUSTAINABILITY,4931-4948,4931-4948,10.3390/su6084931,"This study develops a sustainable housing model for the Mosquitia region   of Honduras, aimed at improving the living conditions of indigenous   communities and reducing their vulnerability to the effects of climate   change. The improved housing efficiency and resilience will contribute   to strengthen sanitation and hygiene, improve the living comfort and   reduce environmental impact, particularly focusing on preserving the   forest biodiversity. The project was developed following the criteria of   environmental, technical, social and economic sustainability to propose   a shared model, reproducible by the beneficiaries living in different   kinds of Mosquitian ecosystems. Increased building efficiency is   obtained through optimization of construction techniques and improvement   of materials' performances. The main material of the proposed dwelling   is wood, coherently with the ``Miskita'' tradition; the increase of   its durability, which is obtained by proper seasoning and protection   from atmospheric agents and parasites, contributes to the optimization   of the use of this natural resource and to reducing the impact on   deforestation, which threatens forest biodiversity. The data collection   campaign, conducted before developing the housing model design and which   has aimed at obtaining information on technical and social aspects   related to residences' welfare and health conditions, has highlighted   the great importance of improving the construction model. Despite the   advance in sanitary conditions and the economic level, the data   collection campaign revealed that even the most developed communities   amongst those visited have been perpetrating substantial construction   errors, which reduce the resilience of structures to extreme natural   phenomena, such as tropical storms and hurricanes, which frequently   affect the Mosquitia region. This unexpected discovery increased the   importance of housing model design in order to correct these improper   construction techniques and avoid their application in the newly-started   village growth.",1632,NO,RO,,,
"Niokhor Bakhoum, Antoine Galiana, Christine Le Roux, Aboubacry Kane, Robin Duponnois, Fatou Ndoye, Dioumacor Fall, Kandioura Noba, Samba Ndao Sylla, Diegane Diouf",2015,Phylogeny of Nodulation Genes and Symbiotic Diversity of Acacia senegal   (L.) Willd. and A-seyal (Del.) Mesorhizobium Strains from Different   Regions of Senegal,MICROBIAL ECOLOGY,641-651,641-651,10.1007/s00248-014-0507-1,"Acacia senegal and Acacia seyal are small, deciduous legume trees, most   highly valued for nitrogen fixation and for the production of gum   arabic, a commodity of international trade since ancient times.   Symbiotic nitrogen fixation by legumes represents the main natural input   of atmospheric N-2 into ecosystems which may ultimately benefit all   organisms. We analyzed the nod and nif symbiotic genes and symbiotic   properties of root-nodulating bacteria isolated from A. senegal and A.   seyal in Senegal. The symbiotic genes of rhizobial strains from the two   Acacia species were closed to those of Mesorhizobium plurifarium and   grouped separately in the phylogenetic trees. Phylogeny of rhizobial   nitrogen fixation gene nifH was similar to those of nodulation genes   (nodA and nodC). All A. senegal rhizobial strains showed identical nodA,   nodC, and nifH gene sequences. By contrast, A. seyal rhizobial strains   exhibited different symbiotic gene sequences. Efficiency tests   demonstrated that inoculation of both Acacia species significantly   affected nodulation, total dry weight, acetylene reduction activity   (ARA), and specific acetylene reduction activity (SARA) of plants.   However, these cross-inoculation tests did not show any specificity of   Mesorhizobium strains toward a given Acacia host species in terms of   infectivity and efficiency as stated by principal component analysis   (PCA). This study demonstrates that large-scale inoculation of A.   senegal and A. seyal in the framework of reafforestation programs   requires a preliminary step of rhizobial strain selection for both   Acacia species.",1633,NO,RO,,,
"Katie Hampson, Tiziana Lembo, Paul Bessell, Harriet Auty, Craig Packer, Jo Halliday, Cari A. Beesley, Robert Fyumagwa, Richard Hoare, Eblate Ernest, Christine Mentzel, Kristine L. Metzger, Titus Mlengeya, Karen Stamey, Keith Roberts, Patricia P. Wilkins, Sarah Cleaveland",2011,"Predictability of anthrax infection in the Serengeti, Tanzania",JOURNAL OF APPLIED ECOLOGY,1333-1344,1333-1344,10.1111/j.1365-2664.2011.02030.x,"1. Anthrax is endemic throughout Africa, causing considerable livestock   and wildlife losses and severe, sometimes fatal, infection in humans.   Predicting the risk of infection is therefore important for public   health, wildlife conservation and livestock economies. However, because   of the intermittent and variable nature of anthrax outbreaks, associated   environmental and climatic conditions, and diversity of species   affected, the ecology of this multihost pathogen is poorly understood.   2. We explored records of anthrax from the Serengeti ecosystem in   north-west Tanzania where the disease has been documented in humans,   domestic animals and a range of wildlife. Using spatial and temporal   case-detection and seroprevalence data from wild and domestic animals,   we investigated spatial, environmental, climatic and species-specific   associations in exposure and disease.   3. Anthrax was detected annually in numerous species, but large   outbreaks were spatially localized, mostly affecting a few focal   herbivores.   4. Soil alkalinity and cumulative weather extremes were identified as   useful spatial and temporal predictors of exposure and infection risk,   and for triggering the onset of large outbreaks.   5. Interacting ecological and behavioural factors, specifically   functional groups and spatiotemporal overlap, helped to explain the   variable patterns of infection and exposure among species.   6. Synthesis and applications. Our results shed light on ecological   drivers of anthrax infection and suggest that soil alkalinity and   prolonged droughts or rains are useful predictors of disease occurrence   that could guide risk-based surveillance. These insights should inform   strategies for managing anthrax including prophylactic livestock   vaccination, timing of public health warnings and antibiotic provision   in high-risk areas. However, this research highlights the need for   greater surveillance (environmental, serological and   case-detection-orientated) to determine the mechanisms underlying   anthrax dynamics.",1634,NO,RO,,,
"Ronan Marrec, Olivier Pontbriand-Pare, Simon Legault, Patrick M. A. James",2018,Spatiotemporal variation in drivers of parasitoid metacommunity   structure in continuous forest landscapes,ECOSPHERE,NA,NA,10.1002/ecs2.2075,"Although landscape spatial structure is known to influence spatial   patterns of biodiversity, its effect on insect communities at higher   trophic levels such as parasitoids remains poorly understood. This is   particularly true in continuously distributed forests in which it can be   difficult to identify clear boundaries among habitat patches. Using the   metacommunity framework, we evaluate the relative importance of forest   landscape structure, non-environmental spatial structure, and host   outbreak status to spatial and within-season temporal variation in   parasitoid communities. We used variation partitioning and metacommunity   structure analyses to identify (1) the drivers of the metacommunity   structure of parasitoids associated with the spruce budworm   (Choristoneura fumiferana), and (2) how their relative influence varies   through a season. We used a multi-scale perspective to summarize   landscape heterogeneity in regions of increasing size around the   community sampling locations. Spruce budworm larvae and pupae were   sampled during three periods during the summer 2014 in 18 locations   within continuous forest landscapes in Quebec, Canada. Thirty-two   parasitoid wasp and fly species were recorded, 16 of which were found at   more than one location. We found that the mechanisms shaping   metacommunity structure changed over the course of a single season and   that community structure varied among sites. At early and late periods   in the season, we found that non-environmental structure, forest   structure, and likely inter-specific competition were the main   mechanisms influencing spatial variation in community structure. These   results suggest a competition-dispersal trade-off. In contrast, at the   middle period of the season, environmental filtering by forest structure   and stochastic events were found to influence community structure. This   period corresponds to the transition between early and late parasitoid   communities. Our findings on the role of environmental filtering and   forest structure support the idea that forest manipulations have the   potential to influence parasitoid populations and hence spruce budworm   outbreak dynamics as hypothesized by the enemies hypothesis. Moreover,   our study highlights the value of considering a multi-scale approach and   temporal variability of species interactions when characterizing the   multiple processes shaping spatial metacommunity structure, particularly   in continuous environments.",1635,NO,RO,,,
"Catherine M. Ward, Jessica T. Su, Yunxin Huang, Alun L. Lloyd, Fred Gould, Bruce A. Hay",2011,MEDEA SELFISH GENETIC ELEMENTS AS TOOLS FOR ALTERING TRAITS OF WILD   POPULATIONS: A THEORETICAL ANALYSIS,EVOLUTION,1149-1162,1149-1162,10.1111/j.1558-5646.2010.01186.x,"One strategy for controlling transmission of insect-borne disease   involves replacing the native insect population with transgenic animals   unable to transmit disease. Population replacement requires a drive   mechanism to ensure the rapid spread of linked transgenes, the presence   of which may result in a fitness cost to carriers. Medea selfish genetic   elements have the feature that when present in a female, only offspring   that inherit the element survive, a behavior that can lead to spread.   Here, we derive equations that describe the conditions under which Medea   elements with a fitness cost will spread, and the equilibrium allele   frequencies are achieved. Of particular importance, we show that   whenever Medea spreads, the non-Medea genotype is driven out of the   population, and we estimate the number of generations required to   achieve this goal for Medea elements with different fitness costs and   male-only introduction frequencies. Finally, we characterize two   contexts in which Medea elements with fitness costs drive the non-Medea   allele from the population: an autosomal element in which not all   Medea-bearing progeny of a Medea-bearing mother survive, and an X-linked   element in species in which X/Y individuals are male. Our results   suggest that Medea elements can drive population replacement under a   wide range of conditions.",1636,NO,RO,,,
"Tatsuya Adachi, Asano Ishikawa, Seiichi Mori, Wataru Makino, Manabu Kume, Masakado Kawata, Jun Kitano",2012,Shifts in morphology and diet of non-native sticklebacks introduced into   Japanese crater lakes,ECOLOGY AND EVOLUTION,1083-1098,1083-1098,10.1002/ece3.234,"An increasing number of exotic animals are causing ecological problems.   Therefore, for better ecosystem management, it is important to   understand how exotic species colonize and adapt to novel environments.   The threespine sticklebacks (Gasterosteus aculeatus) can be a good   vertebrate model system to explore the ecological and genetic mechanisms   of adaptation not only in natural populations, but also in non-native   populations. Although morphological changes have been documented in   several introduced populations of stickleback, little is known about the   dietary changes during colonization into novel environments. Here, we   investigated the morphological and dietary changes of exotic threespine   stickleback populations introduced into three Japanese crater lakes   (Lake Towada, Lake Kussharo, and Lake Shikotsu). Sticklebacks were   introduced into the crater lakes likely along with salmonids   transplanted for aquaculture. The stickleback population in Lake   Kussharo had multiple mitochondrial haplotypes and had larger phenotypic   variances than other crater lake stickleback populations that had only   one mitochondrial haplotype. Compilation of historical data on the   morphology and stomach contents of the Lake Towada stickleback   population showed that substantial shifts in body size and stomach   contents occurred after colonization. Some of these changes may be   related to an outbreak of the Schistocephalus parasite. These results   suggest that sticklebacks can change their morphology and trophic   ecology when they colonize novel environments. Therefore, extreme care   should be taken when salmonids are transported between watersheds for   aquaculture and that long-term monitoring of exotic species is essential   for ecosystem management. In addition, further genetic studies on   phenotypic changes in crater lake sticklebacks would help elucidate the   genetic mechanisms underlying the adaptation of exotic fishes to novel   environments.",1637,NO,RO,,,
"Michael Vagiri, Eva Johansson, Kimmo Rumpunen",2017,Phenolic compounds in black currant leaves - an interaction between the   plant and foliar diseases?,JOURNAL OF PLANT INTERACTIONS,193-199,193-199,10.1080/17429145.2017.1316524,"Interactions between phenolic compounds in black currant leaves and   foliar diseases may be important in breeding for resistant genotypes   with a nutritional high profile for human applications. For increased   understanding of such interactions, we evaluated the presence of major   fungal diseases by visual inspection, and content of phenolic compounds   by HPLC in leaves of five segregating black currant breeding   populations. Eight individual flavonols (e. g. quercetin-3-O-glucoside,   quercetin-3-O-rutinoside and kaempferol-malonylgucoside), three   flavan-3-ols (epigallocatechin, catechin and epicatechin) and two   chlorogenic acids (neochlorogenic acid and chlorogenic acid) were   significantly correlated to the leaf diseases. Rib-0701 was the   population possessing the highest content for several of the compounds,   while genotype differences existed for content of various phenolic   compounds and resistance to the diseases. The high variability of   content of phenolic compounds opens up for opportunities to breed   resistant genotypes with improved health properties of the leaves for   functional food products.",1638,NO,RO,,,
