AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,notes
"Jerome Orivel, Luc Lambs, Pierre-Jean G. Male, Celine Leroy, Julien Grangier, Thierry Otto, Angelique Quilichini, Alain Dejean",2011,Dynamics of the association between a long-lived understory myrmecophyte   and its specific associated ants,OECOLOGIA,369-376,369-376,10.1007/s00442-010-1739-5,"Myrmecophytic symbioses are widespread in tropical ecosystems and their   diversity makes them useful tools for understanding the origin and   evolution of mutualisms. Obligate ant-plants, or myrmecophytes, provide   a nesting place, and, often, food to a limited number of plant-ant   species. In exchange, plant-ants protect their host plants from   herbivores, competitors and pathogens, and can provide them with   nutrients. Although most studies to date have highlighted a similar   global pattern of interactions in these systems, little is known about   the temporal structuring and dynamics of most of these associations. In   this study we focused on the association between the understory   myrmecophyte Hirtella physophora (Chrysobalanaceae) and its obligate ant   partner Allomerus decemarticulatus (Myrmicinae). An examination of the   life histories and growth rates of both partners demonstrated that this   plant species has a much longer lifespan (up to about 350 years) than   its associated ant colonies (up to about 21 years). The size of the ant   colonies and their reproductive success were strongly limited by the   available nesting space provided by the host plants. Moreover, the   resident ants positively affected the vegetative growth of their host   plant, but had a negative effect on its reproduction by reducing the   number of flowers and fruits by more than 50\%. Altogether our results   are important to understanding the evolutionary dynamics of ant-plant   symbioses. The highly specialized interaction between long-lived plants   and ants with a shorter lifespan produces an asymmetry in the   evolutionary rates of the interaction which, in return, can affect the   degree to which the interests of the two partners converge.",544,NO,SH,,,
"Esther van der Meer, Gregory S. A. Rasmussen, Justice Muvengwi, Herve Fritz",2014,"Foraging costs, hunting success and its implications for African wild   dog (Lycaon pictus) conservation inside and outside a protected area",AFRICAN JOURNAL OF ECOLOGY,69-76,69-76,10.1111/aje.12092,"When selecting a habitat, animals utilize habitat in which they yield   the highest rate of energy. Differences in foraging costs and hunting   success are therefore likely to affect habitat choice. In a previous   study, we showed that African wild dog (Lycaon pictus) packs with   territories inside Hwange National Park (HNP), over the course of   several years, moved their territories into the buffer zone outside HNP,   where reproductive success was higher but anthropogenic mortality   exceeded natality. In this study, based on long-term radio-telemetry   data from 22 African wild dog packs, we analysed whether differences in   foraging costs and hunting success could have contributed to this   territorial drift. Taking seasonality and pack size into account, we   determined foraging costs (foraging distance and chase distance) and   hunting success (successful or failed chase) inside and outside HNP.   Although we observed no difference in foraging costs, hunting success   was higher outside HNP, which is likely to have contributed to the   territorial drift into the buffer zone outside the protected area. This   study shows the importance of taking factors affecting hunting success   into account in the conservation strategy of African wild dogs.",545,NO,SH,,,
"Jacques C. Finlay, Vance T. Vredenburg",2007,Introduced trout sever trophic connections in watersheds: Consequences   for a declining amphibian,ECOLOGY,2187-2198,2187-2198,10.1890/06-0344.1,"Trophic linkages between terrestrial and aquatic ecosystems are   increasingly recognized as.important yet poorly known features of food   webs. Here we describe research to understand the dynamics of lake food   webs in relation to a native riparian amphibian and its interaction with   introduced trout. The mountain yellow-legged frog Rana muscosa is   endemic to alpine watersheds of the Sierra Nevada Mountains and the   Transverse Ranges of California, but it has declined to a small fraction   of its historical distribution and abundance. Although remaining frogs   and introduced trout feed in different habitats of alpine lakes, our   stable-isotope analyses clearly show that the same resource base of   benthic invertebrates sustains their growth. During one period, insect   emergence from naturally fishless lakes was nearly 20-fold higher   compared to adjacent lakes with trout, showing that fish reduce   availability of aquatic prey to amphibious and terrestrial consumers.   Although trout cannot prey on adult frogs due to gape limitation,   foraging post-metamorphic frogs are 10 times more abundant in the   absence of trout, suggesting an important role for competition for prey   by trout in highly unproductive alpine watersheds. Most Sierran lakes   contain fish, and those that do not are usually small isolated ponds; in   our study, these two lake types supported the lowest densities of   post-metamorphic frogs, and these frogs were less reliant on local,   benthic sources of productivity. Since Rana muscosa was formerly the   most abundant vertebrate in the Sierra Nevada, the reduction in energy   flow from lake benthos to this consumer due to fish introductions may   have had negative consequences for its numerous terrestrial predators,   many of which have also declined. We suggest that disruptions of trophic   connections between aquatic and terrestrial food webs are an important   but poorly understood consequence of fish introduction to many thousands   of montane lakes and streams worldwide and may contribute to declines of   native consumers in riparian habitats.",546,NO,SH,,,
"Nicole M. Nemeth, Gail E. Kratz, Rebecca Bates, Judy A. Scherpelz, Richard A. Bowen, Nicholas Komar",2008,Naturally Induced Humoral Immunity to West Nile Virus Infection in   Raptors,ECOHEALTH,298-304,298-304,10.1007/s10393-008-0183-z,"West Nile virus (WNV) infection can be fatal to many bird species,   including numerous raptors, though population- and ecosystem-level   impacts following introduction of the virus to North America have been   difficult to document. Raptors occupy a diverse array of habitats   worldwide and are important to ecosystems for their role as   opportunistic predators. We documented initial (primary) WNV infection   and then regularly measured WNV-specific neutralizing antibody titers in   16 resident raptors of seven species, plus one turkey vulture. Most   individuals were initially infected and seroconverted between July and   September of 2003, though three birds remained seronegative until summer   2006. Many of these birds became clinically ill upon primary infection,   with clinical signs ranging from loss of appetite to moderate   neurological disease. Naturally induced WNV neutralizing antibody titers   remained essentially unchanged in some birds, while eight individuals   experienced secondary rises in titer presumably due to additional   exposures at 1, 2, or 3 years following primary infection. No birds   experienced clinical signs surrounding or following the time of   secondary exposure, and therefore antibodies were considered protective.   Results of this study have implications for transmission dynamics of WNV   and health of raptor populations, as well as the interpretation of   serologic data from free-ranging and captive birds. Antibodies in   raptors surviving WNV may persist for multiple years and protect against   potential adverse effects of subsequent exposures.",547,NO,SH,,,
"Chao Xia, Nana Li, Xingxu Zhang, Yao Feng, Michael J. Christensen, Zhibiao Nan",2016,An Epichloe endophyte improves photosynthetic ability and dry matter   production of its host Achnatherum inebrians infected by Blumeria   graminis under various soil water conditions,FUNGAL ECOLOGY,26-34,26-34,10.1016/j.funeco.2016.04.002,"The interaction between an Epichloe endophyte, Blumeria graminis and   Achnatherum inebrians, was studied at four soil water contents. Lesion   length and disease index were recorded dynamically, and the chlorophyll   content, photosynthetic parameters and final dry matter accumulation   were measured after a 4-week period of disease. Infection by B. graminis   significantly (P < 0.05) decreased the chlorophyll content, net   photosynthetic rate, intercellular carbon dioxide concentration and dry   matter at some soil water contents. Presence of the endophyte lowered   the disease index while significantly (P < 0.05) increasing the   chlorophyll content and net photosynthetic rate. The endophyte also   positively affected the intercellular carbon dioxide concentration. In   addition, it increased the dry matter accumulation per host plant under   pathogen stress. The study demonstrated that while powdery mildew   depresses the photosynthetic parameters of A. inebrians, the presence of   the Epichloe endophyte can reduce the damage caused by the pathogen. (C)   2016 Elsevier Ltd and British Mycological Society. All rights reserved.",548,YES,SH,yes,,
"M. Shirdashtzadeh, G. I. Chandrasena, R. Henry, D. T. McCarthy",2017,Plants that can kill; improving E. coli removal in stormwater treatment   systems using Australian plants with antibacterial activity,ECOLOGICAL ENGINEERING,120-125,120-125,10.1016/j.ecoleng.2017.07.009,"Sustainable stormwater treatment systems remove pollutants using low   energy, low maintenance and low cost solutions. Inactivation due to   biotic stressors is one of the processes that govern the removal of   faecal microorganisms in these systems. One such stress is the possible   production of antimicrobial compounds by plants growing in sustainable   stormwater treatment systems, potentially enhancing the removal of   faecal pathogens. To this end, this study has investigated the   antimicrobial potential of 17 Australian native plant species that are   suitable for application in these systems but have not been tested for   their antimicrobial activity within their seed exudates, seed extracts   and/or seedling extracts. The extracts and exudates were tested using   the agar well diffusion method. Nine of the selected plant species   inhibited the growth of Escherichia coli. Among of the antibacterial   plants, Melaleuca ericifolia, which has been previously applied in   stormwater treatment systems, can be a suitable candidate for further   study as it demonstrated antibacterial activity within all tested   components. This species should be utilised in stormwater treatment   facilities due to its effective nitrogen uptake, maintenance of   hydraulic conductivity, and due to its potential effectiveness at   inactivating microbial pathogens. (C) 2017 Elsevier B.V. All rights   reserved.",549,NO,SH,,,
"Dilermando P. Lima Jr., Henrique C. Giacomini, Ricardo M. Takemoto, Angelo A. Agostinho, Luis M. Bini",2012,Patterns of interactions of a large fish-parasite network in a tropical   floodplain,JOURNAL OF ANIMAL ECOLOGY,905-913,905-913,10.1111/j.1365-2656.2012.01967.x,"1. Describing and explaining the structure of species interaction   networks is of paramount importance for community ecology. Yet much has   to be learned about the mechanisms responsible for major patterns, such   as nestedness and modularity in different kinds of systems, of which   large and diverse networks are a still underrepresented and scarcely   studied fraction. 2. We assembled information on fishes and their   parasites living in a large floodplain of key ecological importance for   freshwater ecosystems in the Parana River basin in South America. The   resulting fishparasite network containing 72 and 324 species of fishes   and parasites, respectively, was analysed to investigate the patterns of   nestedness and modularity as related to fish and parasite features. 3.   Nestedness was found in the entire network and among endoparasites,   multiple-host life cycle parasites and native hosts, but not in networks   of ectoparasites, single-host life cycle parasites and non-native   fishes. All networks were significantly modular. Taxonomy was the major   hosts attribute influencing both nestedness and modularity: more closely   related host species tended to be associated with more nested parasite   compositions and had greater chance of belonging to the same network   module. Nevertheless, host abundance had a positive relationship with   nestedness when only native host species pairs of the same network   module were considered for analysis. 4. These results highlight the   importance of evolutionary history of hosts in linking patterns of   nestedness and formation of modules in the network. They also show that   functional attributes of parasites (i.e. parasitism mode and life cycle)   and origin of host populations (i.e. natives versus non-natives) are   crucial to define the relative contribution of these two network   properties and their dependence on other ecological factors (e.g. host   abundance), with potential implications for community dynamics and   stability.",550,MAYBE,SH,no,data on PP but not on ecosystem processes affected by PP,
Christophe Nguyen,2009,Rhizodeposition of Organic C by Plant: Mechanisms and Controls,NA,97-123,97-123,10.1007/978-90-481-2666-8\_9,"During their life, plant roots release organic compounds in their   surrounding environment. This process, named rhizodeposition, is of   ecological importance because (1) it is a loss of reduced C for the   plant, (2) it is an input flux for the organic C pool of the soil and   (3) it fuels the soil microflora, which is involved in the great   majority of the biological activity of soils such as the nutrient and   pollutant cycling or the dynamics of soil borne pathogens, for example.   The present review first examines the mechanisms by which major   rhizodeposits are released into the soil: production of root cap cells,   secretion of mucilage, passive and controlled diffusion of root   exudates. In a second part, results from tracer studies (43 articles)   are analysed and values of C flux from the plant root into the soil are   summarized. In average, 17\% of the net C fixed by photosynthesis is   lost by roots and recovered as rhizosphere respiration (12\%) and soil   residues (5\%). which corresponds to 50\% of the C exported by shoots to   belowground. Finally, the paper reviews major factors that modify the   partitioning of photoassimilates to the soil: microorganisms, nitrogen,   soil texture and atmospheric CO2 concentration.",551,NO,SH,,,
"Markus Kautz, Peter Anthoni, Arjan J. H. Meddens, Thomas A. M. Pugh, Almut Arneth",2018,Simulating the recent impacts of multiple biotic disturbances on forest   carbon cycling across the United States,GLOBAL CHANGE BIOLOGY,2079-2092,2079-2092,10.1111/gcb.13974,"Biotic disturbances (BDs, for example, insects, pathogens, and wildlife   herbivory) substantially affect boreal and temperate forest ecosystems   globally. However, accurate impact assessments comprising larger spatial   scales are lacking to date although these are critically needed given   the expected disturbance intensification under a warming climate. Hence,   our quantitative knowledge on current and future BD impacts, for   example, on forest carbon (C) cycling, is strongly limited. We extended   a dynamic global vegetation model to simulate ecosystem response to   prescribed tree mortality and defoliation due to multiple biotic agents   across United States forests during the period 1997-2015, and quantified   the BD-induced vegetation C loss, that is, C fluxes from live vegetation   to dead organic matter pools. Annual disturbance fractions separated by   BD type (tree mortality and defoliation) and agent (bark beetles,   defoliator insects, other insects, pathogens, and other biotic agents)   were calculated at 0.5 degrees resolution from aerial-surveyed data and   applied within the model. Simulated BD-induced C fluxes totaled 251.6 Mt   C (annual mean: 13.2 Mt C year(-1), SD +/- 7.3 Mt C year(-1) between   years) across the study domain, to which tree mortality contributed 95\%   and defoliation 5\%. Among BD agents, bark beetles caused most C fluxes   (61\%), and total insect-induced C fluxes were about five times larger   compared to non-insect agents, for example, pathogens and wildlife. Our   findings further demonstrate that BD-induced C cycle impacts (i)   displayed high spatio-temporal variability, (ii) were dominated by   different agents across BD types and regions, and (iii) were comparable   in magnitude to fire-induced impacts. This study provides the first   ecosystem model-based assessment of BD-induced impacts on forest C   cycling at the continental scale and going beyond single agent-host   systems, thus allowing for comparisons across regions, BD types, and   agents. Ultimately, a perspective on the potential and limitations of a   more process-based incorporation of multiple BDs in ecosystem models is   offered.",552,NO,SH,,,
"Michael C. Dietze, Jaclyn Hatala Matthes",2014,A general ecophysiological framework for modelling the impact of pests   and pathogens on forest ecosystems,ECOLOGY LETTERS,1418-1426,1418-1426,10.1111/ele.12345,"Forest insects and pathogens (FIPs) have enormous impacts on community   dynamics, carbon storage and ecosystem services, however, ecosystem   modelling of FIPs is limited due to their variability in severity and   extent. We present a general framework for modelling FIP disturbances   through their impacts on tree ecophysiology. Five pathways are   identified as the basis for functional groupings: increases in leaf,   stem and root turnover, and reductions in phloem and xylem transport. A   simple ecophysiological model was used to explore the sensitivity of   forest growth, mortality and ecosystem fluxes to varying outbreak   severity. Across all pathways, low infection was associated with growth   reduction but limited mortality. Moderate infection led to individual   tree mortality, whereas high levels led to stand-level die-offs delayed   over multiple years. Delayed mortality is consistent with observations   and critical for capturing biophysical, biogeochemical and successional   responses. This framework enables novel predictions under present and   future global change scenarios.",553,NO,SH,,,
