AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,include_article_review,exclude_reason,note
"Eleonora Crenna, Serenella Sala, Chiara Polce, Elena Collina",2017,Pollinators in life cycle assessment: towards a framework for impact   assessment,JOURNAL OF CLEANER PRODUCTION,525-536,525-536,10.1016/j.jclepro.2016.02.058,"Human activities are threatening biodiversity at an unprecedented scale   and pace, thus potentially affecting also the provision of critical   ecosystem services, including insect pollination. Insect pollinators   play an essential functional role in terrestrial ecosystems, supporting   ecological stability and food security worldwide. Therefore, assessing   impact on pollinators is fundamental in any effort aiming at enhancing   the environmental sustainability of human production and consumption,   especially in the agri-food supply chains. Different drivers are leading   to pollinator populations' declines. Improving a supply-chain oriented   assessment of the occurrence of pressure and impacts on pollinators is   needed. However, current methodologies assessing impact along supply   chains, such as life cycle assessment (LCA), miss to assess impact on   pollinators. In fact, none of the existing life cycle impact assessment   (LCIA) models effectively accounts for pollinators. Some LCIA models   have mentioned pollination, but none has presented key drivers of impact   and a proposal for integrating pollinators as target group for   biodiversity protection within an LCIA framework. In order to devise a   pathway towards the inclusion of impacts on pollinators in LCIA, we   conducted a literature review of environmental and anthropogenic   pressures acting on insect pollinators, potentially threatening   pollination services. Based on the evidence in literature, we identified   and described eight potential impact drivers, primarily deriving from   industrial development and intensive agricultural practice: 1)   intensified land use as a result of uncontrolled expansion of urban   areas and modern agricultural practices; 2) use of pesticides; 3)   presence of invasive alien plants; 4) competition with invasive alien   pollinator species; 5) global and local climate change; 6) spread of   pests and pathogens; 7) electro-magnetic pollution and 8) genetically   modified crops. To account for these drivers in LCIA, there are specific   modeling needs. Hence, the current study provides recommendation on how   future research should be oriented to improve the current models and how   novel indicators should be developed in order to cover the existing   conceptual and methodological gaps. (C) 2016 The Authors. Published by   Elsevier Ltd. This is an open access article under the CC BY-NC-ND   license.",1358,NO,SL,,,
"Joshua A. Steele, Peter D. Countway, Li Xia, Patrick D. Vigil, J. Michael Beman, Diane Y. Kim, Cheryl-Emiliane T. Chow, Rohan Sachdeva, Adriane C. Jones, Michael S. Schwalbach, Julie M. Rose, Ian Hewson, Anand Patel, Fengzhu Sun, David A. Caron, Jed A. Fuhrman",2011,"Marine bacterial, archaeal and protistan association networks reveal   ecological linkages",ISME JOURNAL,1414-1425,1414-1425,10.1038/ismej.2011.24,"Microbes have central roles in ocean food webs and global biogeochemical   processes, yet specific ecological relationships among these taxa are   largely unknown. This is in part due to the dilute, microscopic nature   of the planktonic microbial community, which prevents direct observation   of their interactions. Here, we use a holistic (that is, microbial   system-wide) approach to investigate time-dependent variations among   taxa from all three domains of life in a marine microbial community. We   investigated the community composition of bacteria, archaea and protists   through cultivation-independent methods, along with total bacterial and   viral abundance, and physicochemical observations. Samples and   observations were collected monthly over 3 years at a well-described   ocean time-series site of southern California. To find associations   among these organisms, we calculated time-dependent rank correlations   (that is, local similarity correlations) among relative abundances of   bacteria, archaea, protists, total abundance of bacteria and viruses and   physico-chemical parameters. We used a network generated from these   statistical correlations to visualize and identify time-dependent   associations among ecologically important taxa, for example, the SAR11   cluster, stramenopiles, alveolates, cyanobacteria and ammonia-oxidizing   archaea. Negative correlations, perhaps suggesting competition or   predation, were also common. The analysis revealed a progression of   microbial communities through time, and also a group of unknown   eukaryotes that were highly correlated with dinoflagellates, indicating   possible symbioses or parasitism. Possible `keystone' species were   evident. The network has statistical features similar to previously   described ecological networks, and in network parlance has non-random,   small world properties (that is, highly interconnected nodes). This   approach provides new insights into the natural history of microbes. The   ISME Journal (2011) 5, 1414-1425; doi:10.1038/ismej.2011.24; published   online 24 March 2011",1359,NO,SL,,,
"Emily K. Smith-McKenna, George P. Malanson, Lynn M. Resler, Laurence W. Carstensen, Stephen P. Prisley, Diana F. Tomback",2014,"Cascading effects of feedbacks, disease, and climate change on alpine   treeline dynamics",ENVIRONMENTAL MODELLING \& SOFTWARE,85-96,85-96,10.1016/j.envsoft.2014.08.019,"Whitebark pine (Pinus albicaulis) is important for tree island   development in some alpine treeline ecosystems in western North America:   therefore the effects of an exotic disease on whitebark pine may cascade   to other species and affect how treeline responds to climate change. We   developed an agent-based model to examine the interactive impacts of   blister rust and climate change on treeline dynamics. Our model includes   positive and negative feedback effects for population processes and   infection in a neighborhood. We simulated a present-day-like whitebark   pine treeline community in the northern U.S. Rocky Mountains under   stable conditions, and then conditions of disease, climate amelioration,   and their combination. The loss of pine to disease was only partly   compensated by the effect of climate change, and resulted in less   facilitation for other species reversing the positive effects of climate   amelioration. Spatially explicit simulation captured the cascading   effects of neighborhood facilitation on treeline populations and   patterns. (C) 2014 Elsevier Ltd. All rights reserved.",1360,NO,SL,,,
"G. Bonanomi, G. Incerti, A. Stinca, F. Carteni, F. Giannino, S. Mazzoleni",2014,Ring formation in clonal plants,COMMUNITY ECOLOGY,77-86,77-86,10.1556/COMEC.15.2014.1.8,"Ring shaped patches of clonal plants fascinated plant ecologists since   long time. In this work we review the reports on the occurrence of ring   pattern in different environmental conditions, the growth forms of   ring-forming plants, the mechanisms underlying ring formation, and the   consequences for species diversity at community scale. Rings formed by   83 species of clonal vascular plants have been found in grasslands,   deserts, bare substrates of lava flow, harvested peat lands, salt   marshes, and sand dunes. Four causal hypotheses have been proposed for   the emergence of ring patterns: i. occurrence of architectural   constraints for ramets development; ii. induction by fire, drought,   trampling or overgrazing; iii. nutrient and water depletion by   competition inside the ring; and iv. onset of species-specific negative   plant-soil feedback in the inner zone of the clone. Since almost all the   available studies are observations of ring structure or modelling   exercises, none of the putative mechanisms for ring formation emerged   from the literature as either generally applicable or suitable for   rejection. Therefore, long-term field experiments are needed to   investigate the relative prevalence of different mechanisms in different   environments. Ring formation bears important consequences at community   scale, because ring forming plants often act as ``nurses'', enhancing   the recruitment and development of different plant species. In fact,   ring establishment modifies above- and below-ground environmental   conditions, providing specialized safe sites for beneficiaries in the   inner zone of the clones. Such interspecific facilitation by ring   forming plants, particularly in chronically stressed environments,   contributes to increase plant species richness and can locally promote   the successional dynamics.",1361,NO,SL,,,
Berihun Tefera,2017,"Water-Induced Shift of Farming Systems and Value Addition in Lake Tana   Sub-basin: The Case of Rice Production and Marketing in Fogera District,   Northwestern Ethiopia",NA,545-562,545-562,10.1007/978-3-319-45755-0\_30,"Fogera district is one of the districts adjacent to Lake Tana in South   Gondar zone in Amhara Regional State, Ethiopia. Floods and related   water-borne diseases were serious problems in the plains of the Lake   Tana Basin and Fogera district in particular for centuries. But with the   introduction of rice as a crop, this environmental characteristic has   become an opportunity instead of a challenge. To address the lack of   documentation about this water utilization-induced change in farming   systems in this area, and the resulting rice production and consumption   value chain, this chapter presents three survey studies conducted from   2010/11to 2014 by structured interviews of farming households and   marketing agents, field observations and group discussions supplemented   by review of literatures. Survey data was collected from 200 farming   households of high and medium level rice producing kebeles of Fogera   district selected randomly, key informant experts and a variety of value   chain actors. Participation in the rice industry in this area has   increased from 30 participant households in 2 kebeles and area coverage   of 6 ha in 1993/94 to 34,249 households in 24 kebeles covering an area   of 20,230 ha of land in 2014/15. Fogera district jumps from no   contribution in rice production before two decades to a share of 77\% of   the rice produced in Amhara and 60\% produced in all of Ethiopia. Rice   is now the primary crop in the district. In addition to rice production,   farming households have also adapted to rice consumption by innovative   value addition practices to local food items. About 82.5\% of the   respondents were rice producers, with non-producing households having no   access to irrigation; rice production is significantly related to   irrigation water utilization. These findings clarify the contribution of   water resource utilization in shifting farming systems and the value   addition practices in the area. The study has implications for how to   promote similar innovations where there are no cultural practices   related to commodities targeted by extension interventions exemplify the   impacts of proper water resource use.",1362,NO,SL,,,
"C. Tellenbach, N. Tardent, F. Pomati, B. Keller, N. G. Hairston Jr., J. Wolinska, P. Spaak",2016,Cyanobacteria facilitate parasite epidemics in Daphnia,ECOLOGY,3422-3432,3422-3432,10.1002/ecy.1576,"The seasonal dominance of cyanobacteria in the phytoplankton community   of lake ecosystems can have severe implications for higher trophic   levels. For herbivorous zooplankton such as Daphnia, cyanobacteria have   poor nutritional value and some species can produce toxins affecting   zooplankton survival and reproduction. Here we present another, hitherto   largely unexplored aspect of cyanobacteria, namely that they can   increase Daphnia susceptibility to parasites. In a 12-yr monthly   time-series analysis of the Daphnia community in Greifensee   (Switzerland), we observed that cyanobacteria density correlated   significantly with the epidemics of a common gut parasite of Daphnia,   Caullerya mesnili, regardless of what cyanobacteria species was present   or whether it was colonial or filamentous. The temperature from the   previous month also affected the occurrence of Caullerya epidemics,   either directly or indirectly by the promotion of cyanobacterial growth.   A laboratory experiment confirmed that cyanobacteria increase the   susceptibility of Daphnia to Caullerya, and suggested a possible   involvement of cyanotoxins or other chemical traits of cyanobacteria in   this process. These findings expand our understanding of the   consequences of toxic cyanobacterial blooms for lake ecosystems and   might be relevant for epidemics experienced by other aquatic species.",1363,MAYBE,SL,no,data on PP but not on ecosystem processes affected by PP,
"Alexander C. W. Sabais, Nico Eisenhauer, Stephan Koenig, Carsten Renker, Francois Buscot, Stefan Scheu",2012,Soil organisms shape the competition between grassland plant species,OECOLOGIA,1021-1032,1021-1032,10.1007/s00442-012-2375-z,"Decomposers and arbuscular mycorrhizal fungi (AMF) both determine plant   nutrition; however, little is known about their interactive effects on   plant communities. We set up a greenhouse experiment to study effects of   plant competition (one- and two-species treatments), Collembola   (Heteromurus nitidus and Protaphorura armata), and AMF (Glomus   intraradices) on the performance (above- and belowground productivity   and nutrient uptake) of three grassland plant species (Lolium perenne,   Trifolium pratense, and Plantago lanceolata) belonging to three dominant   plant functional groups (grasses, legumes, and herbs). Generally, L.   perenne benefited from being released from intraspecific competition in   the presence of T. pratense and P. lanceolata. However, the presence of   AMF increased the competitive strength of P. lanceolata and T. pratense   against L. perenne and also modified the effects of Collembola on plant   productivity. The colonization of roots by AMF was reduced in treatments   with two plant species suggesting that plant infection by AMF was   modified by interspecific plant interactions. Collembola did not affect   total colonization of roots by AMF, but increased the number of   mycorrhizal vesicles in P. lanceolata. AMF and Collembola both enhanced   the amount of N and P in plant shoot tissue, but impacts of Collembola   were less pronounced in the presence of AMF. Overall, the results   suggest that, by differentially affecting the nutrient acquisition and   performance of plant species, AMF and Collembola interactively modify   plant competition and shape the composition of grassland plant   communities. The results suggest that mechanisms shaping plant community   composition can only be understood when complex belowground interactions   are considered.",1364,YES,SL,no,no data on PP,
"Raju Sekar, Longin T. Kaczmarsky, Laurie L. Richardson",2008,Microbial community composition of black band disease on the coral host   Siderastrea siderea from three regions of the wider Caribbean,MARINE ECOLOGY PROGRESS SERIES,85-98,85-98,10.3354/meps07496,"Microbial communities associated with black band disease (BBD) on   colonies of the reef building coral Siderastrea siderea from reefs in 3   regions of the wider Caribbean were studied using 16S rRNA gene-targeted   amplification, cloning, and sequencing. Samples were collected from 7   BBD-infected S. siderea colonies on 2 reefs near Lee Stocking Island,   Bahamas, one reef in the Florida Keys, Florida, USA, and 2 reefs in St.   Croix, US Virgin Islands. Genomic DNA extracted from BBD samples was   PCR-amplified with universal bacterial primers (27F and 1492R). Seven   clone libraries were constructed and 411 sequences were retrieved. All   of the clone libraries were dominated by Alphaproteobacteria and   contained sequences associated with bacteria of the sulfur cycle,   including the first report of the molecular detection of sequences   related to the sulfide-oxidizing genus Beggiatoa in BBD field samples.   Additionally, all clone libraries had sequence types of bacteria   associated with toxin producing dinoflagellates. These sequences were   most abundant in a sewage impacted reef site in St. Croix, which also   had the highest prevalence of BBD-infected colonies. Non-metric   multidimensional scaling and cluster analysis showed clustering of BBD   microbial communities by relative level of anthropogenic impact. The   results support the hypothesis that BBD is composed of variable members   of distinct physiological and toxin associated bacterial groups and that   the microbial community variation is associated with environmental   differences such as anthropogenic impact. We propose that with degrading   water quality (i.e. increasing nutrients) certain proteobacteria thrive   and increase BBD virulence.",1365,NO,SL,,,
"Jiang Jiang, Jessica A. M. Moore, Anupam Priyadarshi, Aimee T. Classen",2017,Plant-mycorrhizal interactions mediate plant community coexistence by   altering resource demand,ECOLOGY,187-197,187-197,10.1002/ecy.1630,"As the diversity of plants increases in an ecosystem, so does resource   competition for soil nutrients, a process that mycorrhizal fungi can   mediate. The influence of mycorrhizal fungi on plant biodiversity likely   depends on the strength of the symbiosis between the plant and fungi,   the differential plant growth responses to mycorrhizal inoculation, and   the transfer rate of nutrients from the fungus to plant. However, our   current understanding of how nutrient-plant--mycorrhizal interactions   influence plant coexistence is conceptual and thus lacks a unified   quantitative framework. To quantify the conditions of plant coexistence   mediated by mycorrhizal fungi, we developed a mechanistic resource   competition model that explicitly included plant-mycorrhizal symbioses.   We found that plant-mycorrhizal interactions shape plant coexistence   patterns by creating a tradeoff in resource competition. Especially, a   tradeoff in resource competition was caused by differential payback in   the carbon resources that plants invested in the fungal symbiosis and/or   by the stoichiometric constraints on plants that required additional,   less-beneficial, resources to sustain growth. Our results suggested that   resource availability and the variation in plant-mycorrhizal   interactions act in concert to drive plant coexistence patterns.   Applying our framework, future empirical studies should investigate   plant-mycorrhizal interactions under multiple levels of resource   availability.",1366,NO,SL,,,
"Evangelina Teran-Ventura, Merce Roca, Maria Teresa Martin, Maria Lourdes Abarca, Vicente Martinez, Patri Vergara",2010,Characterization of Housing-Related Spontaneous Variations of Gut   Microbiota and Expression of Toll-Like Receptors 2 and 4 in Rats,MICROBIAL ECOLOGY,691-702,691-702,10.1007/s00248-010-9737-z,"Gut microbiota has been suggested as a key component of gut homeostasis,   affecting immune responses within the gut. We determined changes in   intestinal commensal bacteria and expression of toll-like receptors   (TLR) 2 and 4 in rats bred under microbiologically controlled conditions   (barrier), under standard conditions (conventional), and in barrier   animals adapted to standard conditions (barrier/conventional). Cecal   microbiota was analyzed by plate culture, and fluorescence in situ   hybridization and microbial profiles were assessed by terminal   restriction fragment length polymorphism. Cecal expression of TLR-2 and   TLR-4 was determined by reverse transcription polymerase chain reaction   (PCR). Total number of cecal bacteria was similar in the three groups.   However, the barrier group showed a higher number of strict anaerobic   bacteria (Bacteroides spp. and Clostridium spp.) while Bifidobacterium   spp. were scarce. Re-housing the barrier-bred rats into conventional   conditions led to a microbiota with intermediate characteristics between   the barrier and conventional groups. Richness of the cecal microbial   ecosystem was similar in the three groups, although a relative   time-dependent variation, with highest homogeneity in the barrier group,   was observed. Expression levels of TLR-2 and TLR-4 had no clear   correlation with the microbiota. These results show that the relative   composition of the cecal microbiota in rats varies spontaneously with   changes in the environmental conditions, with minor impact in the   expression of TLR-2 and TLR-4. These observations might be important in   the understanding of variability in animal responses, particularly to   immune-related stimuli, when assessed in the context of the   environmental/microbiological conditions.",1367,NO,SL,,,
