STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include_do_not_use,screened_by,include_article_review,exclude_reason,note,exclude_reason_old
1,Tao,MAYBE,"Adam D. Chupp, Loretta L. Battaglia, Eric M. Schauber, Sedonia D. Sipes",2015,Orchid-pollinator interactions and potential vulnerability to biological   invasion,AOB PLANTS,NA,NA,10.1093/aobpla/plv099,"Mutualistic relationships between plants and their pollinators have   played a major role in the evolution of biodiversity. While the   vulnerability of these relationships to environmental change is a major   concern, studies often lack a framework for predicting impacts from   emerging threats (e.g. biological invasions). The objective of this   study was to determine the reliance of Platanthera ciliaris   (orange-fringed orchid) on Papilio palamedes (Palamedes swallowtail   butterfly) for pollination and the relative availability of alternative   pollinators. Recent declines of P. palamedes larval host plants due to   laurel wilt disease (LWD) could endanger P. ciliaris populations that   rely heavily on this butterfly for pollination. We monitored pollinator   visitation and fruit set and measured nectar spur lengths of P. ciliaris   flowers and proboscis lengths of its floral visitors in Jackson County,   MS, USA. Papilio palamedes was the primary visitor with minimal   visitation by Phoebis sennae (cloudless sulfur butterfly). Lengths of P.   ciliaris nectar spurs were similar to proboscis lengths of both   pollinator species. Fruit set was moderate with access to pollinators   (55 +/- 10.8 \%), yet failed (0 \%) when pollinators were excluded.   Visitation increased with inflorescence size, but there was no such   pattern in fruit set, indicating that fruit set was not limited by   pollinator visitation within the range of visitation rates we observed.   Our results are supported by historical data that suggest P. palamedes   and P. sennae are important pollinators of P. ciliaris. Although P.   sennae may provide supplemental pollination service, this is likely   constrained by habitat preferences that do not always overlap with those   of P. cilaris. Observed declines of P. palamedes due to LWD could   severely limit the reproductive success and persistence of P. ciliaris   and similar orchid species populations. This empirical-based prediction   is among the first to document exotic forest pests and pathogens as an   indirect threat to plant-pollinator interactions.",273,NA,TH,NO,no data on PP,,no data on PP
2,Tao,MAYBE,"Emily J. Bailes, Kaitlin R. Deutsch, Judit Bagi, Lucila Rondissone, Mark J. F. Brown, Owen T. Lewis",2018,First detection of bee viruses in hoverfly (syrphid) pollinators,BIOLOGY LETTERS,NA,NA,10.1098/rsbl.2018.0001,"Global declines of insect pollinators jeopardize the delivery of   pollination services in both agricultural and natural ecosystems. The   importance of infectious diseases has been documented in honeybees, but   there is little information on the extent to which these diseases are   shared with other pollinator orders. Here, we establish for the first   time the presence of three important bee viruses in hoverfly pollinators   (Diptera: Syrphidae): black queen cell virus (BQCV), sacbrood virus   (SBV) and deformed wing virus strain B (DWV-B). These viruses were   detected in two Eristalis species, which are behavioural and   morphological bee mimics and share a foraging niche with honeybees.   Nucleotide sequences of viruses isolated from the Eristalis species and   Apis mellifera were up to 99 and 100\% identical for the two viruses,   suggesting that these pathogens are being shared freely between bees and   hoverflies. Interestingly, while replicative intermediates (negative   strand virus) were not detected in the hoverflies, viral titres of SBV   were similar to those found in A. mellifera. These results suggest that   syrphid pollinators may play an important but previously unexplored role   in pollinator disease dynamics.",274,NA,TH,NO,data on PP but not on ecosystem processes affected by PP,,no data on PP impacts
20,Tao,MAYBE,Lindsey Norgrove,2007,Effects of different copper fungicide application rates upon earthworm   activity and impacts on cocoa yield over four years,EUROPEAN JOURNAL OF SOIL BIOLOGY,S303-S310,S303-S310,10.1016/j.ejsobi.2007.08.031,"Blackpod disease, caused by Phytophthora fungi, is the major cause of   yield loss in cacao systems worldwide and is most commonly controlled by   copper (Cu) fungicides. However, fungicide use might have negative   impacts on soil-faunal mediated nutrient cycling, a crucial process in   perennial systems in the tropics as fertilizer is rarely used. An   experiment was established in 35 year old cacao farms in southern   Cameroon to assess the effects of different fungicide application rates,   none, reduced ('low'), and manufacturer's recommended rate ('high'),   upon earthworm cast production for 4 years and this was also compared   with cast production in a secondary forest of the same age.   Supplementary measurements were made to assess the impacts of fungicide   treatment on litter decomposition and, through potentially lower   earthworm activity, on soil compaction. Cocoa yields were 2.5 times   greater in the high spray treatment than in the low spray treatment.   There were no significant differences in cast production between cacao   spray treatments in the first 3 years. In year 4 only, cast production   was significantly lower in the high spray treatment than in the no-spray   control. With no evidence of any negative effect on either litter   decomposition or soil bulk density, the high spray regime can be   recommended to farmers, perhaps accompanied by measures such as adding   leguminous cover crops or mulch to hasten litter decomposition rates,   provide soil coverage and thus possibly reducing the efficacy of P.   megakarya inoculum. (c) 2007 Elsevier Masson SAS. All rights reserved.",292,NA,TH,MAYBE,effects of PP and non-PP not separable,,effects of PP and non-PP not separable
32,Tao,MAYBE,"Richard C. Cobb, Joao A. N. Filipe, Ross K. Meentemeyer, Christopher A. Gilligan, David M. Rizzo",2012,Ecosystem transformation by emerging infectious disease: loss of large   tanoak from California forests,JOURNAL OF ECOLOGY,712-722,712-722,10.1111/j.1365-2745.2012.01960.x,"1. Few pathogens are the sole or primary cause of species extinctions,   but forest disease has caused spectacular declines in North American   overstorey trees and restructured forest ecosystems at large spatial   scales over the past 100 years. These events threaten biodiversity   associated with impacted host trees and other resources valued by human   societies even when they do not directly cause host extinction.   2. Invasion of Phytophthora ramorum and emergence of the forest disease   sudden oak death has caused a large-scale decline of tanoak   (Notholithocarpus densiflorus) in Californian coastal forests. Here, we   describe structural changes to tanoak forests and develop predictive   models of infection rates, mortality rates and changes in tanoak biomass   and abundance by combining regionally extensive longitudinal field   studies and mathematical modelling.   3. Pathogen-invaded stands had smaller average tanoak tree size and   higher proportions of large dead tanoak trees compared with uninvaded   stands. This pattern is caused in part by a positive relationship   between tanoak size and mortality rate, as well as prolific basal   sprouting from trees killed by the disease. Tanoak infection, mortality   and biomass decline rates were positively related to the prevalence of   infection in sporulation-supporting species, especially California bay   laurel (Umbellularia californica).   4. We developed a stage-structured and spatially explicit mathematical   model including species dynamics and P. ramorum transmission, where the   long-term outcome of disease ranges from host extinction when densities   of bay laurel are high to limited or no disease outbreak. Low densities   of tanoak in a matrix of non-susceptible neighbouring species resulted   in slow-enough transmission to retain overstorey tanoak, suggesting   host-density thresholds may exist in real forests.   5. Synthesis. Tanoak is likely to persist in many disease-impacted   forests via vegetative reproduction, but overstorey trees may be   eliminated or greatly reduced in abundance, a pattern similar to other   forest diseases that have emerged in the last century including chestnut   blight and beech bark disease. Our results support a general model of   disease-caused changes to forest trees useful for the analysis of   emerging forest pathogens where vegetative reproduction, community-level   epidemiology and stage-specific mortality rate interact to determine   local disease intensity and host decline.",304,NA,TH,yes,,size distribution in invaded vs. uninvaded is effect of PP on mortality across age classes,
38,Tao,MAYBE,"Mathias Middelboe, Stephan Jacquet, Markus Weinbauer",2008,Viruses in freshwater ecosystems: an introduction to the exploration of   viruses in new aquatic habitats,FRESHWATER BIOLOGY,1069-1075,1069-1075,10.1111/j.1365-2427.2008.02014.x,"1. Viruses have become widely recognized as the most abundant biological   entities and important players in aquatic environments, and this   realization has profoundly changed our conceptual understanding of the   functioning and regulation of aquatic ecosystems in the last two   decades. However, most of this research has focussed on marine viruses,   especially in pelagic environments.   2. Here we introduce a special issue of Freshwater Biology dealing with   viruses in freshwater ecosystems. It represents the first attempt to   summarize progress in freshwater viral ecology made by diverse research   groups and to direct attention of viral ecologists towards fresh waters.   3. Six review-type articles and ten original research papers cover a   wide range of aspects of freshwater viral ecology. This includes reports   on the distribution of freshwater viral communities in contrasting   habitats (e.g. sediments, wetlands, littoral zone, open waters), on   different roles of viruses in freshwater ecosystems (e.g. mortality   rates of bacteria and phytoplankton, transduction, influence on   bacterial diversity and organic matter), and on different types of   viruses (bacteriophages, cyanophages, algal viruses, and a   fish-pathogenic virus).   4. Collectively the series of papers presented in this special issue   indicates that freshwater environments cover great habitat diversity and   that the significance of some of the mechanisms controlling viral   dynamics and impacts may differ between freshwater and marine habitats.",310,NA,TH,NO,review,,review
39,Tao,MAYBE,"Jerome P. Payet, Curtis A. Suttle",2014,Viral infection of bacteria and phytoplankton in the Arctic Ocean as   viewed through the lens of fingerprint analysis,AQUATIC MICROBIAL ECOLOGY,47-U100,47-U100,10.3354/ame01684,"Viruses are the most abundant biological entities in the oceans and play   crucial roles as mortality agents and as catalysts in biogeochemical   cycles. During a year-long study in the southeastern Beaufort Sea and   Amundsen Gulf in the Canadian Arctic, we used denaturing gradient gel   electrophoresis (DGGE) to investigate temporal and spatial changes in   gene sequences encoding DNA polymerase B (polB) and the major capsid   protein (g23) that are specific for the virus families Phycodnaviridae   and Myoviridae, which infect phytoplankton and bacteria, respectively.   Multivariate analysis indicated that the genetic composition of viruses   infecting phytoplankton was related to changes in productivity and   hydrological conditions, as well as with changes in the potential host   community, as indicated by DGGE fingerprints of 18S rDNA. In contrast,   changes in the composition of viruses infecting bacteria could not be   related to changes in environmental variables or DGGE fingerprints of   bacterial (16S) or eukaryotic (18S) rDNA. Overall, these results   document persistent and highly dynamic T4-like viruses and   phycodnaviruses on the Canadian Arctic Shelf, implying that they are   important in shaping microbial communities in the Arctic Ocean.",311,NA,TH,NO,data on PP but not on ecosystem processes affected by PP,,"PP community composition, no effects on ecosystem function"
41,Tao,MAYBE,"David M. Bell, John B. Bradford, William K. Lauenroth",2015,Scale dependence of disease impacts on quaking aspen (Populus   tremuloides) mortality in the southwestern United States,ECOLOGY,1835-1845,1835-1845,10.1890/14-1184.1,"Depending on how disease impacts tree exposure to risk, both the   prevalence of disease and disease effects on survival may contribute to   patterns of mortality risk across a species' range. Disease may   accelerate tree species' declines in response to global change factors,   such as drought, biotic interactions, such as competition, or functional   traits, such as allometry. To assess the role of disease in mediating   mortality risk in quaking aspen (Populus tremuloides), we developed   hierarchical Bayesian models for both disease prevalence in live aspen   stems and the resulting survival rates of healthy and diseased aspen   near the species' southern range limit using 5088 individual trees on   281 United States Forest Service Forest Inventory and Analysis plots in   the southwestern United States. We found that disease prevalence   depended primarily on tree size, tree allometry, and spatial variation   in precipitation, while mortality depended on tree size, allometry,   competition, spatial variation in summer temperature, and both temporal   and spatial variation in summer precipitation. Disease prevalence was   highest in large trees with low slenderness found on dry sites. For   healthy trees, mortality decreased with diameter, slenderness, and   temporal variation in summer precipitation, but increased with   competition and spatial variation in summer temperature. Mortality of   diseased trees decreased with diameter and aspen relative basal area and   increased with mean summer temperature and precipitation. Disease   infection increased aspen mortality, especially in trees of intermediate   size and trees on plots at climatic extremes (i.e., cool, wet and warm,   dry climates). By examining variation in disease prevalence, mortality   of healthy trees, and mortality of diseased trees, we showed that the   role of disease in aspen tree mortality depended on the scale of   inference. For variation among individuals in diameter, disease tended   to expose intermediate-size trees experiencing moderate risk to greater   risk. For spatial variation in summer temperature, disease exposed lower   risk populations to greater mortality probabilities, but the magnitude   of this exposure depended on summer precipitation. Furthermore, the   importance of diameter and slenderness in mediating responses to climate   supports the increasing emphasis on trait variation in studies of   ecological responses to global change.",313,NA,TH,no,data on PP but not on ecosystem processes affected by PP,,no information on ecosystem effects 
43,Tao,MAYBE,"Jeffrey R. Garnas, Matthew P. Ayres, Andrew M. Liebhold, Celia Evans",2011,Subcontinental impacts of an invasive tree disease on forest structure   and dynamics,JOURNAL OF ECOLOGY,532-541,532-541,10.1111/j.1365-2745.2010.01791.x,"1. Introduced pests and pathogens are a major source of disturbance to   ecosystems world-wide. The famous examples have produced dramatic   reductions in host abundance, including virtual extirpation, but most   introductions have more subtle impacts that are hard to quantify but are   potentially at least as important due to the pathogens' effects on host   reproduction, competitive ability and stress tolerance. A general   outcome could be reduced host abundance with concomitant increases in   the abundance of competitors.   2. Beech bark disease (BBD) is a widespread, fatal affliction of   American beech (Fagus grandifolia), currently present in c. 50\% of   beech's distribution in eastern North America. Despite high adult   mortality, beech remains a dominant component of the forest community.   3. Employing spatially extensive data from the national Forest Inventory   and Analysis program of the United States Forest Service, we show that   forests have changed dramatically in the presence of BBD. Within the 2.3   million km(2) range of beech, size-specific mortality was 65\% higher in   the longest-infected regions, and large beech (>90 cm diameter at breast   height) have declined from c. 79 individuals km(-2) to being virtually   absent. Small stem beech density was dramatically higher (>350\%) such   that infested forests contain a roughly equivalent cross-sectional   (basal) area of beech as before BBD.   4. There was no evidence for compensation by sugar maple or other   co-occurring tree species via increased recruitment or adult   survivorship at the landscape scale. Overall, community composition   remained roughly unchanged as a result of BBD.   5. Surprisingly, trajectory of stand dynamics (shifts in stem density   and mean tree size reflecting normal stand maturation (self-thinning) or   retrogression (more abundant, smaller trees over time)) did not differ   between affected and unaffected regions. Variance in stand dynamics was   greater in afflicted forests, however, indicating that predictability of   forest structure has been diminished by BBD.   6. Synthesis. Forests of eastern North America have shifted to increased   density and dramatically smaller stature without notable change in tree   species composition following the invasion of a novel forest disease.   Our results reinforce the conclusion that introduced diseases alter   fundamental properties of ecosystems, but indicate that the spectrum of   potential effects is broader than generally appreciated.",315,NA,TH,yes,,data on PP but not on ecosystem processes affected by PP,"no information on ecosystem effects (host abundance, mortality, not basal area); small stem density"
53,Tao,MAYBE,"Geofrey Soka, Mark Ritchie",2015,"ARBUSCULAR MYCORRHIZAL SYMBIOSIS, ECOSYSTEM PROCESSES AND ENVIRONMENTAL   CHANGES IN TROPICAL SOILS",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,229-245,229-245,NA,"Arbuscular mycorrhizal fungi (AMF) are more widely distributed and   associate with a wide range of plant species. AMF are keystone organisms   that form an interface between soils and plant roots, and are sensitive   to changes in soil and plant conditions. They are important microbial   symbioses for plants and under conditions of P-limitation and are   significant in the maintenance of soil health and fertility. AMF are   crucial for the functioning of terrestrial ecosystems and plants form   symbiotic interactions with AMF and colonize more than 80\% of plant   roots. Mycorrhizal fungi are known to influence plant diversity patterns   in a variety of ecosystems globally. AMF hyphae form an extensive   network in soil and length is a common parameter used to quantifying   fungal hyphae. The mycelial network of AM fungi extends into the soil   volume and greatly increases the surface area for uptake of immobile   nutrients. Also, AM symbioses improve drought tolerance of plants and   enhance tolerance of or resistance to root pathogens. Furthermore,   networks of AM hyphae play a role in the formation of stable soil   aggregates, building up a macroporous structure of soil that allows   penetration of water and air and prevents erosion. The functioning of   AMF symbiosis is mediated by direct and indirect effects of biotic and   abiotic factors of the surrounding rhizosphere, community, and   ecosystem. They have great potential in the restoration of disturbed   land and low fertility soil. Little is known about the effects of   environmental changes on AMF abundance, activity and the impact on   ecosystem services. Also, we still have much to learn regarding the   extent of mycorrhizal fungal diversity. It is critical to gain a clearer   understanding of functional variation among AM fungal species to guide   conservation and restoration efforts.",325,NA,TH,NO,no data on PP,,no data on PP (AMF)
56,Tao,MAYBE,"Paulo S. Salomon, Edna Graneli, Maria H. C. B. Neves, Eliane G. Rodriguez",2009,Infection by Amoebophrya spp. parasitoids of dinoflagellates in a   tropical marine coastal area,AQUATIC MICROBIAL ECOLOGY,143-153,143-153,10.3354/ame01293,"Infection of marine dinoflagellates by the parasitic dinoflagellate   Amoebophrya spp. plays an important role in population dynamics and   carbon flow in marine food webs. It has been extensively reported that   Amoebophrya parasitoids occur in temperate coastal areas of the northern   hemisphere; however, little is known about their distribution and   importance in tropical areas and southern oceans. We used an rRNA-based,   fluorescent in situ hybridization assay to detect Amoebophrya spp.   infections during the decline of a late-summer dinoflagellate population   dominated by Ceratium falcatiforme in a tropical coastal area of the   southern Atlantic Ocean subjected to recurrent upwelling-downwelling   cycles. Conditions during our survey were typical of downwelling when   oligotrophic waters dominate the area. C. falcatiforme was the most   infected host, with a prevalence averaging 2\% over the study area at   the beginning of sampling. At a fixed sampling station monitored over 4   wk, Amoebophrya prevalence escalated from 1 to 7\% over a 6 d period,   concomitant to a 94\% decrease in host cell numbers. Infection by   Amoebophrya was estimated to have killed ca. 11\% of the host cell   population within this period; thus, parasitism was not the main factor   behind the C. falcatiforme population decline. Estimates based on   biovolume calculations indicate that ca. 6.5\% of the carbon in the   decaying C. falcatiforme population was transformed into parasitoid   dinospores, which became available to tintinnid ciliates that were   abundant during our survey. Such a trophic link might be relevant in   tropical oligotrophic waters when the system is characterized by a   microbial food web structure.",328,NA,TH,YES,,,
